Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 865.00 99.999999 0.000000 4.795828 18.296932 0.000000 31.730922 8.489928 28.632294 0.205532 5.712053 2.136508 
1000.00 860.00 99.999999 0.000000 4.804340 18.263969 0.000000 31.718091 8.503931 28.640731 0.229394 5.703034 2.136508 
1000.00 855.00 99.999999 0.000000 4.812747 18.231198 0.000000 31.705901 8.517326 28.649081 0.253125 5.694113 2.136508 
1000.00 850.00 99.999999 0.000000 4.821051 18.198622 0.000000 31.694335 8.530127 28.657346 0.276718 5.685291 2.136508 
1000.00 845.00 99.999999 0.000000 4.829257 18.166243 0.000000 31.683378 8.542348 28.665526 0.300172 5.676566 2.136508 
1000.00 840.00 99.999999 0.000000 4.837368 18.134065 0.000000 31.673014 8.554004 28.673622 0.323482 5.667935 2.136508 
1000.00 835.00 99.999999 2.221855 4.734964 18.135112 0.000000 31.668434 8.562761 28.671729 0.356993 5.648152 0.000000 
1000.00 830.00 99.999999 2.220478 4.745217 18.102356 0.000000 31.659076 8.573418 28.679953 0.379266 5.640235 0.000000 
1000.00 825.00 99.999999 2.219131 4.755331 18.069838 0.000000 31.650266 8.583544 28.688089 0.401416 5.632384 0.000000 
1000.00 820.00 99.999999 2.217813 4.765309 18.037560 0.000000 31.641990 8.593151 28.696138 0.423439 5.624598 0.000000 
1000.00 815.00 99.999999 2.216522 4.775159 18.005523 0.000000 31.634234 8.602252 28.704102 0.445333 5.616875 0.000000 
1000.00 810.00 99.999999 2.215259 4.784883 17.973728 0.000000 31.626983 8.610858 28.711981 0.467092 5.609215 0.000000 
1000.00 805.00 99.999999 2.214022 4.794489 17.942177 0.000000 31.620224 8.618979 28.719778 0.488714 5.601615 0.000000 
1000.00 800.00 99.999999 2.212810 4.803982 17.910870 0.000000 31.613943 8.626629 28.727494 0.510196 5.594075 0.000000 
