point[#],X[0.0-1.0],P[kbar],T[°C],phase,mode[mol%],mode[wt%],log10(fO2),log10(dQFM),aH2O,aSiO2,aTiO2,aAl2O3,aMgO,aFeO,density[kg/m3],volume[cm3/mol],heatCapacity[J/K],alpha[1/K],Entropy[J/K],Enthalpy[J],Vp[km/s],Vs[km/s],Vp_S[km/s],Vs_S[km/s],BulkMod[GPa],ShearMod[GPa],SiO2[mol%],Al2O3[mol%],CaO[mol%],MgO[mol%],FeO[mol%],K2O[mol%],Na2O[mol%],TiO2[mol%],O[mol%],Cr2O3[mol%],H2O[mol%],SiO2[wt%],Al2O3[wt%],CaO[wt%],MgO[wt%],FeO[wt%],K2O[wt%],Na2O[wt%],TiO2[wt%],O[wt%],Cr2O3[wt%],H2O[wt%],heatCapacity[kJ/K]
4,1.0,3.8363636363636364,1240.0,liq,99.15915489777802,99.31512285334965,-,-,-,-,-,-,-,-,2740.3592714472748,63.46671383361819,,9.536899238520775e-5,0.4552745218864695,-2153.629173985137,2.9415827632158797,2.125154052579693e-9,-,-,23.712079822000113,1.2376229077677815e-17,50.45921467483756,9.131435834850675,12.441840933535424,14.58158152892866,7.630037655026539,0.11867529758208384,2.475587903819381,0.9720503033168734,0.46577877205942153,0.0,1.7237970960433864,49.886324125417055,15.320748789023298,11.481635161788613,9.669872985593504,9.021204892758588,0.1839595443735264,2.5248815971607708,1.2777264624632159,0.12263396421893155,0.0,0.5110124772025088,0.26104532224614824
4,1.0,3.8363636363636364,1240.0,ol,0.8408451022219734,0.6848771466503577,-,-,-,-,-,-,-,-,3227.9175661451263,45.9305699748634,,4.2665404601120096e-5,0.360777398681288,-1877.8723063719196,7.501316148347259,4.337696707565485,-,-,100.65376584449152,60.735246838700434,33.33333333333333,0.0,0.20189618475149768,58.557199440121046,7.907571041794122,0.0,0.0,0.0,0.0,0.0,0.0,40.52337923372058,0.0,0.22910422681873122,47.75098435635741,11.49653218310328,0.0,0.0,0.0,0.0,0.0,0.0,0.18822196503238423
5,1.0,3.7818181818181817,1230.0,system,100.0,100.0,-7.837100029916221,0.014311989392849908,0.02025922431576502,0.5342749881919623,0.35153523299362727,0.15388909732866168,0.1172418609558088,0.06777573483930856,2742.407728174621,22.15889492866364,[1498.4647086227656],9.506613043479013e-5,0.15835861419835054,-753.601863427859,2.9753245773681907,0.2766541680835278,91.49527981242,52.88510759567787,23.99745610914399,0.20989711025159957,50.45921467483755,9.131435834850674,12.441840933535422,14.581581528928659,7.630037655026538,0.11867529758208384,2.4755879038193807,0.9720503033168731,0.4657787720594215,0.0,1.7237970960433864,49.88632412541705,15.320748789023295,11.481635161788613,9.669872985593504,9.021204892758588,0.18395954437352643,2.5248815971607703,1.2777264624632159,0.12263396421893152,0.0,0.5110124772025088,
5,1.0,3.7818181818181817,1230.0,liq,99.17470827979803,99.32787076307768,-,-,-,-,-,-,-,-,2739.0864297622297,63.40821047414974,,9.550300848732807e-5,0.4528433363474219,-2153.2967008810074,2.939524233187406,2.1245138048875564e-9,-,-,23.66790546574591,1.2363027952528377e-17,50.600481695278724,9.206658064527105,12.542204536011722,14.214713871515261,7.632551081045219,0.11965771979813701,2.4960681825298154,0.9800806820574199,0.4696101350001542,0.0,1.7379740322364339,49.947894631970556,15.422843520015869,11.556185261713832,9.411866968719073,9.01008947337099,0.18519285934420746,2.541795625741736,1.2862710556060908,0.12344970473883426,0.0,0.5144108987788166,0.2605087442280521
5,1.0,3.7818181818181817,1230.0,ol,0.8252917202019698,0.6721292369223137,-,-,-,-,-,-,-,-,3233.2322323759226,45.92264015641037,,4.2566811280474934e-5,0.3598059426332654,-1877.631130474632,7.501102210592811,4.3357056047773135,-,-,100.8835608106044,60.77940879804403,33.33333333333333,0.0,0.2041426839479299,58.32526122209968,8.137262760619054,0.0,0.0,0.0,0.0,0.0,0.0,40.46375440237055,0.0,0.23131262228401445,47.491867278030696,11.813065697314745,0.0,0.0,0.0,0.0,0.0,0.0,0.18875828521657692
6,1.0,3.7272727272727275,1220.0,system,100.0,100.0,-7.951054019869927,0.01275538007838159,0.020963373999271097,0.5380211428647509,0.36555478335637054,0.15871821074262868,0.11463662352145508,0.06871723094357658,2741.088171743785,22.20422963995077,[1496.2662174446439],9.519553117356425e-5,0.15797268815739743,-755.7064566746562,2.9726587121818455,0.2742669637569353,92.30223660409214,53.32953443362688,23.94725182934277,0.20619114155386223,50.60048169527873,9.206658064527105,12.542204536011726,14.214713871515263,7.632551081045221,0.11965771979813704,2.4960681825298145,0.9800806820574202,0.46961013500015425,0.0,1.737974032236434,49.947894631970556,15.422843520015867,11.556185261713832,9.411866968719073,9.010089473370991,0.18519285934420743,2.5417956257417345,1.2862710556060908,0.12344970473883426,0.0,0.5144108987788166,
6,1.0,3.7272727272727275,1220.0,ol,0.8108014742150322,0.6603023405174013,-,-,-,-,-,-,-,-,3238.689655740605,45.915062444422084,,4.2428592768393975e-5,0.35883596513563965,-1877.303631260758,7.500386492425066,4.3335040886274605,-,-,101.10148607364675,60.82018761062422,33.333333333333336,0.0,0.2063911121372941,58.08528112352257,8.374994431006806,0.0,0.0,0.0,0.0,0.0,0.0,40.40223687461965,0.0,0.23350475966334439,47.2245559560528,12.139702409664228,0.0,0.0,0.0,0.0,0.0,0.0,0.18865581828115388
6,1.0,3.7272727272727275,1220.0,liq,99.18919852578497,99.3396976594826,-,-,-,-,-,-,-,-,2737.780657907229,63.35727600424857,,9.562686353721475e-5,0.45045427054904735,-2153.242846647389,2.937427833599439,2.124009223331091e-9,-,-,23.622891886721444,1.2351265221771086e-17,50.7404944170117,9.28122490026288,12.64168480999632,13.853508240816142,7.632619431308376,0.1206311756555114,2.5163625826442733,0.9880388580138257,0.4734078390319165,0.0,1.7520277452590327,50.009350498931816,15.523931537257027,11.629995815269544,9.158648867993842,8.99636312078875,0.18641337039966402,2.558535140002161,1.2947284068671567,0.12425733164029666,0.0,0.5177759108497417,0.2597910913751197
7,1.0,3.672727272727273,1210.0,system,100.0,100.0,-8.066743622322326,0.010957815275009091,0.02169211130539973,0.5417750755976442,0.38017526533504326,0.16355751797647688,0.11204904286488766,0.06967653512566005,2739.7501206625952,22.249286315635693,[1495.9182774736375],9.534461723063215e-5,0.15757689568981958,-757.812044623477,2.9699927900080265,0.271914306952387,93.09501866899411,53.76804583105339,23.896851204497437,0.2025699740654837,50.74049441701172,9.281224900262881,12.641684809996324,13.853508240816145,7.632619431308378,0.12063117565551144,2.5163625826442733,0.9880388580138261,0.4734078390319167,0.0,1.7520277452590332,50.0093504989318,15.523931537257027,11.629995815269544,9.158648867993842,8.99636312078875,0.18641337039966405,2.5585351400021605,1.294728406867157,0.12425733164029669,0.0,0.5177759108497417,
7,1.0,3.672727272727273,1210.0,liq,99.20331268614915,99.35116127080943,-,-,-,-,-,-,-,-,2736.45487499344,63.314335480716046,,9.576987927841676e-5,0.44811076209860895,-2153.4719800844096,2.9353235939478988,2.1236410327303277e-9,-,-,23.57763616846965,1.2341004399962614e-17,50.8790798246206,9.355028337920627,12.740070346839596,13.497524740363605,7.6312293377993345,0.12159499615453295,2.536455058744107,0.995916844610085,0.4771655005486196,0.0,1.7659350123988893,50.07038179418139,15.623799783372828,11.702847929833473,8.909860594716887,8.981171893824893,0.1876196566425382,2.575078509584473,1.3030853578687742,0.1250549104785321,0.0,0.5210995694962235,0.25942527739269283
7,1.0,3.672727272727273,1210.0,ol,0.7966873138508483,0.6488387291905772,-,-,-,-,-,-,-,-,3244.323089528922,45.907909513380474,,4.2391089332703874e-5,0.3578695129776965,-1876.8708404182091,7.498852752411072,4.331044391382106,-,-,101.29489974439467,60.85683576305869,33.33333333333333,0.0,0.20864637320275634,57.83539204920552,8.622628244258397,0.0,0.0,0.0,0.0,0.0,0.0,40.33836669945499,0.0,0.23568312354917384,46.94705676596709,12.478893411028741,0.0,0.0,0.0,0.0,0.0,0.0,0.18878847942007984
8,1.0,3.618181818181818,1200.0,system,100.0,100.0,-8.184265998390204,0.00885354990691278,0.022446350492889424,0.5455362303602429,0.3954249843168614,0.16839050954672533,0.10947845387903819,0.0706569415979868,2738.392472998246,22.294028169289547,[1492.686068274455],9.54768489246056e-5,0.15717073218309613,-759.9144815674382,2.9674236833488337,0.26965101774109146,93.86759474355644,54.18893252810509,23.847713717343503,0.19911309357546153,50.8790798246206,9.35502833792063,12.7400703468396,13.497524740363605,7.631229337799336,0.12159499615453297,2.536455058744107,0.9959168446100851,0.4771655005486197,0.0,1.7659350123988897,50.07038179418139,15.623799783372828,11.702847929833473,8.909860594716887,8.981171893824893,0.1876196566425382,2.575078509584473,1.3030853578687744,0.1250549104785321,0.0,0.5210995694962235,
8,1.0,3.618181818181818,1200.0,ol,0.7832626323931823,0.6379929229429577,-,-,-,-,-,-,-,-,3250.143130801203,45.901206281940034,,4.226133010378555e-5,0.35690715062962974,-1876.326434259583,7.497623364746597,4.328311679268712,-,-,101.51923948824877,60.88909792969689,33.33333333333333,0.0,0.21091469446379435,57.57498781332566,8.880764158877207,0.0,0.0,0.0,0.0,0.0,0.0,40.27201296996722,0.0,0.2378534811057053,46.658800483695444,12.831333065231638,0.0,0.0,0.0,0.0,0.0,0.0,0.18885206316986308
8,1.0,3.618181818181818,1200.0,liq,99.21673736760683,99.36200707705704,-,-,-,-,-,-,-,-,2735.1065762295093,63.279491363466065,,9.589695674574196e-5,0.4458119714667171,-2153.9874802970567,2.933283749787333,2.1234116019421414e-9,-,-,23.5332769760004,1.2332258672594913e-17,51.01631249962646,9.428108160580514,12.837415567517448,13.146611137785138,7.628338781648332,0.12254969522212372,2.556356266937984,1.003718965267697,0.4808851461167268,0.0,1.779703779297576,50.131037937514655,15.722517662022517,11.77479388095158,8.665359232782233,8.964466590593332,0.1888125452102984,2.5914370249354843,1.3113478082638375,0.12584299724589337,0.0,0.5243843204801483,0.2585892734118431
9,1.0,3.5636363636363635,1190.0,system,100.0,100.0,-8.303455698046783,0.0066403166491659955,0.02322752861971373,0.5493049764894504,0.41133560990014506,0.17320114858563837,0.10692623788711055,0.07165268259968494,2737.0016311832223,22.33849270635403,[1488.6888751141546],9.56346960445828e-5,0.15675366867003415,-762.0153864032584,2.9647196533833764,0.26751691855128845,94.58229631238794,54.58365431077984,23.795881440276744,0.19587434751961003,51.01631249962645,9.428108160580512,12.837415567517446,13.146611137785136,7.62833878164833,0.12254969522212372,2.5563562669379833,1.0037189652676968,0.4808851461167267,0.0,1.779703779297576,50.131037937514655,15.722517662022517,11.774793880951583,8.665359232782233,8.964466590593332,0.18881254521029842,2.5914370249354843,1.3113478082638375,0.12584299724589337,0.0,0.5243843204801485,
9,1.0,3.5636363636363635,1190.0,ol,0.7707356924801081,0.6279304546321249,-,-,-,-,-,-,-,-,3256.139499910997,45.89493322310787,,4.221502095217609e-5,0.3559480862699152,-1875.6758235301702,7.4948962817730544,4.325321372916041,-,-,101.68575349803484,60.917176432467485,33.33333333333333,0.0,0.2132023695113779,57.304626566767126,9.148837730388157,0.0,0.0,0.0,0.0,0.0,0.0,40.20334409432594,0.0,0.24002337700894585,46.36051402552022,13.196118503144891,0.0,0.0,0.0,0.0,0.0,0.0,0.18818722221272477
9,1.0,3.5636363636363635,1190.0,liq,99.2292643075199,99.37206954536788,-,-,-,-,-,-,-,-,2733.7212076253923,63.25262038364458,,9.604961850280854e-5,0.44355393218680866,-2154.792814326474,2.9310827990198587,2.1233249632909524e-9,-,-,23.48607241447974,1.232500639397209e-17,51.15245864147362,9.500618936782947,12.933982751255835,12.800852236744358,7.62309396141848,0.12349668537991211,2.5760974386612014,1.0114587213351578,0.48457539896296564,0.0,1.7933652279855292,50.19164837461535,15.820374064055226,11.846097541968824,8.425175429336,8.945262042012473,0.1899945862053412,2.607647477585975,1.3195359949459111,0.12662409855296664,0.0,0.5276403907219218,0.2576572388568597
10,1.0,3.5090909090909093,1180.0,system,100.0,100.0,-8.416352471849885,0.012311544091341874,0.02447758079291283,0.5534909129456271,0.432017617657118,0.17419349445444612,0.10423010171630324,0.07315217320026823,2736.053282379651,22.378673787664404,[1486.1671544638893],9.551630567134865e-5,0.15625758417301727,-764.2192452578031,2.9973810486554524,0.37388108068129716,55.317315805068844,30.95430643480215,24.071551630328553,0.3824648511638445,51.15245864147362,9.500618936782947,12.933982751255831,12.800852236744356,7.623093961418478,0.1234966853799121,2.5760974386612014,1.0114587213351578,0.48457539896296553,0.0,1.793365227985529,50.19164837461535,15.820374064055228,11.846097541968822,8.425175429336,8.945262042012473,0.1899945862053412,2.607647477585975,1.3195359949459111,0.12662409855296664,0.0,0.5276403907219218,
10,1.0,3.5090909090909093,1180.0,liq,98.26242448408,98.35940467233225,-,-,-,-,-,-,-,-,2732.1084740999763,63.2185401715347,,9.659069147930582e-5,0.44128341070780697,-2153.6388163608494,2.9282258621130004,2.123898235248906e-9,-,-,23.42648241506054,1.2324387546369798e-17,51.309608851573806,9.501148855459752,13.007226761288281,12.437538440384206,7.667194458511559,0.12566013535641576,2.6047146237690817,1.0292313106287247,0.49306377603952467,0.0,1.8246127869886526,50.294705157946254,15.805185148173331,11.901079468223557,8.177736650956891,8.98787221565691,0.19312658657526718,2.633936853241729,1.3413579401217444,0.12871131241006264,0.0,0.5362886666942686,0.2573425810424036
