T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1040.000000, 1.250000, 1.000000, 1.000000, 0.666170, 0.004880, 0.149810, 0.000290, 0.029920, 0.010130, 0.026320, 0.038260, 0.032910, 0.002880, 0.038430, 2231.500640, 3.128812
1020.000000, 1.250000, 0.995699, 0.996564, 0.666810, 0.004890, 0.149370, 0.000260, 0.029770, 0.010260, 0.025970, 0.038300, 0.033000, 0.002850, 0.038520, 2234.715190, 3.261273
1000.000000, 1.250000, 0.974076, 0.979977, 0.672620, 0.004960, 0.146780, 0.000270, 0.026860, 0.010510, 0.023800, 0.038650, 0.033670, 0.002540, 0.039320, 2229.269950, 3.408139
980.000000, 1.250000, 0.954753, 0.964969, 0.677780, 0.005020, 0.144370, 0.000270, 0.024350, 0.010780, 0.021800, 0.038930, 0.034330, 0.002250, 0.040120, 2224.729680, 3.551824
960.000000, 1.250000, 0.936397, 0.950536, 0.682890, 0.005060, 0.142020, 0.000270, 0.021920, 0.010940, 0.019900, 0.039100, 0.035000, 0.001980, 0.040910, 2220.263360, 3.699694
940.000000, 1.250000, 0.918505, 0.936358, 0.687550, 0.005100, 0.139840, 0.000180, 0.019670, 0.011090, 0.018240, 0.039160, 0.035670, 0.001750, 0.041740, 2216.165220, 3.846609
920.000000, 1.250000, 0.900658, 0.921995, 0.692330, 0.005140, 0.137690, 0.000160, 0.017470, 0.010940, 0.016650, 0.039100, 0.036400, 0.001540, 0.042570, 2211.958270, 4.001050
900.000000, 1.250000, 0.883341, 0.907807, 0.696360, 0.005190, 0.135660, 0.000120, 0.015550, 0.011050, 0.015330, 0.038860, 0.037090, 0.001370, 0.043430, 2208.584010, 4.152790
880.000000, 1.250000, 0.865535, 0.892977, 0.700390, 0.005240, 0.133540, 0.000070, 0.013830, 0.011060, 0.014090, 0.038460, 0.037800, 0.001220, 0.044300, 2205.307680, 4.310018
860.000000, 1.250000, 0.847247, 0.877459, 0.703790, 0.005280, 0.131410, 0.000050, 0.012430, 0.011160, 0.013210, 0.037870, 0.038400, 0.001090, 0.045310, 2202.352080, 4.463697
840.000000, 1.250000, 0.822074, 0.849233, 0.709210, 0.005390, 0.128020, 0.000040, 0.011330, 0.011190, 0.012470, 0.036840, 0.039290, 0.000990, 0.045230, 2203.152910, 4.683826
820.000000, 1.250000, 0.790493, 0.811819, 0.714390, 0.005360, 0.125090, 0.000040, 0.009910, 0.011080, 0.011570, 0.035540, 0.040870, 0.000860, 0.045290, 2202.959660, 4.904704
800.000000, 1.250000, 0.755602, 0.770087, 0.721890, 0.004700, 0.121470, 0.000020, 0.009070, 0.010990, 0.011010, 0.033150, 0.042600, 0.000780, 0.044290, 2205.941550, 5.203643
780.000000, 1.250000, 0.718351, 0.726597, 0.728530, 0.004090, 0.118120, 0.000020, 0.008170, 0.011050, 0.010580, 0.030440, 0.044810, 0.000700, 0.043500, 2208.502240, 5.503409
760.000000, 1.250000, 0.681399, 0.684277, 0.742840, 0.003300, 0.111760, 0.000020, 0.006980, 0.009670, 0.009400, 0.026450, 0.047360, 0.000580, 0.041640, 2209.642290, 5.948514
740.000000, 1.250000, 0.603843, 0.594147, 0.761480, 0.002790, 0.104100, 0.000020, 0.006440, 0.007730, 0.008420, 0.022290, 0.048530, 0.000560, 0.037640, 2216.796980, 6.596940
720.000000, 1.250000, 0.604628, 0.603262, 0.763320, 0.002510, 0.103000, 0.000010, 0.006050, 0.007600, 0.009430, 0.021770, 0.045890, 0.000470, 0.039940, 2210.881790, 6.747792
700.000000, 1.250000, 0.546165, 0.542867, 0.774290, 0.002170, 0.097920, 0.000020, 0.005670, 0.007330, 0.009870, 0.019640, 0.043630, 0.000430, 0.039030, 2211.684300, 7.195314
680.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
