T[C], P[kbar], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_partial[cm3], Rho[kg/m3], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1250.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1031.760770, 23.686890, 2649.229580, 0.162625, -784.057800, 20.241940, 0.000000, 2.764180, 0.000000, 0.529243
1230.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1028.336780, 23.636410, 2654.324323, 0.161065, -786.231600, 21.058950, 0.429150, 2.854720, 0.402090, 0.529243
1210.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1024.946280, 23.619760, 2657.418929, 0.159550, -788.309400, 22.358630, 1.118940, 2.995830, 0.648890, 0.529243
1190.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1021.595720, 23.563960, 2663.620990, 0.157960, -790.476500, 23.547790, 1.735440, 3.115860, 0.807150, 0.529243
1170.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1018.283910, 23.553050, 2666.151736, 0.156556, -792.350100, 24.662090, 2.312920, 3.225740, 0.931340, 0.529243
1150.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1015.012670, 23.461680, 2679.119258, 0.155017, -794.400800, 28.434670, 4.345520, 3.566120, 1.270640, 0.529243
1130.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1011.808460, 23.279480, 2689.211335, 0.152853, -797.333400, 32.599510, 6.781010, 3.917570, 1.580900, 0.529243
1110.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1008.664830, 23.078500, 2705.777476, 0.150787, -800.103600, 37.352310, 9.455750, 4.267630, 1.856620, 0.529243
1090.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1005.588950, 22.800120, 2732.618509, 0.148568, -803.068000, 43.515350, 12.590380, 4.652970, 2.126090, 0.529243
1070.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -1002.569530, 22.633790, 2749.049705, 0.146748, -805.464800, 47.696020, 14.438750, 4.879860, 2.266230, 0.529243
1050.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -999.593440, 22.522010, 2759.639458, 0.145182, -807.496200, 50.539960, 15.590020, 5.021900, 2.347830, 0.529243
1030.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -996.654190, 22.443340, 2767.493310, 0.143742, -809.337100, 52.666380, 16.364970, 5.120930, 2.400320, 0.529243
1010.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -993.747840, 22.390890, 2772.978988, 0.142372, -811.063200, 54.274230, 16.907590, 5.192730, 2.436160, 0.529243
990.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -990.873870, 22.240330, 2790.275188, 0.140837, -812.975900, 56.704450, 17.741240, 5.291150, 2.486130, 0.529243
970.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -988.033710, 22.179420, 2797.062419, 0.139479, -814.640600, 58.155990, 18.172620, 5.348790, 2.512100, 0.529243
950.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -985.222900, 22.135070, 2802.069284, 0.138149, -816.245400, 59.317640, 18.496040, 5.393830, 2.531340, 0.529243
930.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -982.440620, 22.099000, 2806.132101, 0.136827, -817.817200, 60.293380, 18.755800, 5.430900, 2.546610, 0.529243
910.000000, 1.250000, 0.526890, 0.011620, 0.179140, 0.000240, 0.086730, 0.054700, 0.090920, 0.033070, 0.009740, 0.006950, 0.000000, -979.686420, 22.066640, 2809.791288, 0.135495, -819.375700, 61.223200, 18.990340, 5.465680, 2.560310, 0.529243
