T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1100.000000, 1.250000, 1.000000, 1.000000, 0.749890, 0.002320, 0.135980, 0.000240, 0.015000, 0.003450, 0.011080, 0.036340, 0.044210, 0.001500, 0.000000, 2361.638510, 6.338875
1080.000000, 1.250000, 1.000000, 1.000000, 0.749890, 0.002320, 0.135980, 0.000240, 0.015000, 0.003450, 0.011080, 0.036340, 0.044220, 0.001500, 0.000000, 2362.785180, 6.551874
1060.000000, 1.250000, 0.982139, 0.983696, 0.752690, 0.002360, 0.133900, 0.000250, 0.015140, 0.003560, 0.009980, 0.035790, 0.044810, 0.001520, 0.000000, 2361.941720, 6.793273
1040.000000, 1.250000, 0.956200, 0.959794, 0.756300, 0.002420, 0.130990, 0.000250, 0.015510, 0.003830, 0.008720, 0.034620, 0.045810, 0.001570, 0.000000, 2360.902570, 7.052308
1020.000000, 1.250000, 0.923372, 0.929248, 0.760820, 0.002500, 0.127460, 0.000250, 0.016130, 0.003990, 0.007680, 0.032850, 0.046690, 0.001630, 0.000000, 2359.720100, 7.341939
1000.000000, 1.250000, 0.882222, 0.890610, 0.766350, 0.002630, 0.123360, 0.000270, 0.016780, 0.004150, 0.006890, 0.030660, 0.047220, 0.001700, 0.000000, 2358.295530, 7.664370
980.000000, 1.250000, 0.833082, 0.844056, 0.772770, 0.002780, 0.118670, 0.000280, 0.017800, 0.004320, 0.006380, 0.028150, 0.047050, 0.001800, 0.000000, 2356.986270, 8.019540
960.000000, 1.250000, 0.782683, 0.795980, 0.780080, 0.002970, 0.113530, 0.000300, 0.019210, 0.004330, 0.006100, 0.025670, 0.045910, 0.001920, 0.000000, 2355.704280, 8.409586
940.000000, 1.250000, 0.722582, 0.738440, 0.790580, 0.003330, 0.106840, 0.000210, 0.019740, 0.004820, 0.005970, 0.022640, 0.043920, 0.001970, 0.000000, 2352.536980, 8.872653
920.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
900.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
