2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_LAN-04-01 [13695] / s_LAN_04_01 [11543],PLU,52.500,1.340,15.500,9.880,4.520,8.200,3.110,1.320,96.370
s_F2-25A [7426],PLU,52.500,1.250,18.300,15.120,3.820,6.930,3.740,1.830,103.490
s_13820M [23254],PLU,52.600,0.670,16.300,8.150,4.780,8.660,2.940,1.830,95.930
s_237 [23838],PLU,52.600,0.955,19.200,7.230,4.140,8.510,3.840,0.690,97.165
s_SF-88 [4771],PLU,52.600,0.440,5.060,4.860,14.200,21.510,0.630,0.520,99.820
s_LG064B [22118],PLU,52.620,2.170,16.980,8.690,3.500,6.670,4.050,2.630,97.310
s_L2 [7507],PLU,52.680,1.070,16.390,8.600,5.870,7.600,2.630,0.630,95.470
s_JJJD_24 [24690],PLU,52.690,1.110,16.750,8.550,3.650,6.360,5.080,2.450,96.640
s_PTPM2-12  [24081],PLU,52.700,1.134,15.320,6.864,6.080,5.340,4.160,1.670,93.268
s_VO3 [11776],PLU,52.700,0.840,17.780,8.989,4.670,8.460,3.270,1.200,97.909
s_013-OLV2 [22118],PLU,52.730,1.280,18.690,7.520,4.230,8.430,3.830,1.240,97.950
s_BC10PAX127 [17221],PLU,52.752,0.897,25.678,3.950,4.422,0.714,1.266,4.394,94.073
s_CR038 [23709],PLU,52.790,0.950,18.020,8.150,5.510,9.070,3.260,0.410,98.160
s_PIC25 [23134],PLU,52.870,1.320,15.410,8.470,4.450,8.790,3.580,1.070,95.960
s_F2-5 [7426],PLU,52.900,0.960,18.280,17.980,3.450,7.440,4.720,1.120,106.850
s_900765 [21647],PLU,52.932,1.195,18.060,14.913,6.375,9.285,2.845,2.541,108.146
s_BC10PAX103 [17221],PLU,52.950,1.722,20.280,2.920,4.250,5.780,1.560,3.242,92.704
s_CBR-1E [7426],PLU,52.950,1.180,17.850,8.320,3.910,8.390,4.580,0.960,98.140
s_900665 [21647],PLU,53.000,0.673,15.430,12.303,6.842,9.271,2.334,2.005,101.858
s_GMT-5 M [23374],PLU,53.020,1.140,17.240,9.570,7.110,8.210,2.700,1.000,99.990
s_12722Y [23254],PLU,53.200,0.850,17.200,8.490,3.980,7.720,2.800,1.800,96.040
s_AR-34 [25771],PLU,53.230,0.180,24.390,2.110,2.510,10.390,4.850,0.470,98.130
s_A1015-33 [24959],PLU,53.340,0.940,17.260,7.940,5.320,9.080,3.120,0.850,97.850
s_PTPM03  [24081],PLU,53.370,0.846,17.100,6.483,4.580,4.900,4.260,2.210,93.749
s_14713C [23254],PLU,53.500,0.640,20.600,7.700,5.530,10.100,4.110,0.430,102.610
s_MLL8 [23641],PLU,53.600,0.980,18.800,6.947,4.700,7.820,4.320,1.480,98.647
s_FA-12-19B [23308],PLU,53.738,0.587,15.644,8.589,8.872,11.340,0.881,0.104,99.754
s_900658 [21647],PLU,53.910,0.965,17.420,13.200,4.651,8.001,3.219,1.165,102.531
s_A1015-17 [24959],PLU,54.000,0.680,19.590,4.243,4.680,10.890,2.820,1.190,98.093
s_RJ1106 [20547],PLU,54.010,0.680,19.330,7.010,4.110,8.020,3.390,0.550,97.100
s_F2-12 [7562],PLU,54.040,0.850,18.280,8.017,3.290,7.680,4.160,1.850,98.167
s_10714M [22835],PLU,54.200,0.860,17.800,13.030,2.570,6.320,3.900,2.810,101.490
s_JRQ-26-83BL [22303],PLU,54.260,0.830,15.450,7.230,6.950,7.880,2.830,1.820,97.250
s_013-TP3 [22118],PLU,54.300,1.600,16.070,7.440,2.420,5.850,3.930,2.250,93.860
s_A1015-36 [24959],PLU,54.330,1.100,18.300,8.070,3.870,7.660,3.410,1.020,97.760
