2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_TH4 [20576],VOL,53.030,1.050,18.170,8.550,5.220,8.410,3.400,0.850,98.680
s_TH3A [20576],VOL,53.031,1.024,17.945,8.130,5.510,9.093,3.111,0.903,98.746
s_ML32 [7067],VOL,53.040,1.070,17.910,7.380,3.120,8.480,3.000,2.340,96.340
s_M5-689 [7985],VOL,53.040,0.870,15.830,10.660,4.830,6.240,6.040,0.280,97.790
s_PU-04-05D [20828],VOL,53.050,0.950,18.260,8.910,4.550,8.840,3.420,0.710,98.690
s_VL05A [19904],VOL,53.050,1.000,19.390,7.960,3.900,10.020,2.860,0.600,98.780
s_XY91 [6214],VOL,53.060,1.960,15.910,7.689,3.340,6.900,3.540,1.850,94.249
s_IM56 [7419],VOL,53.060,1.960,16.600,9.524,4.620,5.220,5.840,0.230,97.054
s_060283-2 [20337],VOL,53.060,1.060,18.200,7.710,5.120,8.770,3.520,1.030,98.470
s_XG-103 [6224],VOL,53.060,1.200,17.210,9.094,4.810,8.740,3.690,0.670,98.474
s_NEG-19 [25792],VOL,53.070,1.030,16.420,7.740,7.940,8.740,3.250,1.120,99.310
s_FB220114-12 [19945],VOL,53.080,0.990,18.000,10.030,3.940,7.680,3.770,0.520,98.010
s_16EQ47 [22739],VOL,53.080,0.970,15.990,7.950,7.840,8.160,3.500,1.240,98.730
s_VL09A [19904],VOL,53.080,1.010,19.380,7.950,3.890,10.010,2.840,0.630,98.790
s_LLA-11-15A [22571],VOL,53.090,1.200,16.850,9.780,4.370,8.990,3.060,0.500,97.840
s_070380-4 [20337],VOL,53.090,0.800,17.240,8.100,5.370,9.360,3.680,0.960,98.600
s_L2 [25623],VOL,53.090,1.470,16.140,11.340,4.260,8.550,3.500,0.610,98.960
s_JK 265 [18493],VOL,53.100,0.990,18.400,8.070,4.210,8.970,3.080,0.780,97.600
s_L16 [25623],VOL,53.100,1.390,16.180,10.970,4.110,8.330,3.390,0.630,98.100
s_OLA32 [10011] / s_OLA-032 [10229],VOL,53.100,1.420,17.300,8.300,5.200,8.700,3.500,1.500,99.020
s_LCM242 [6221],VOL,53.100,1.200,19.050,8.570,3.650,8.660,3.780,1.180,99.190
s_AS9 [7358],VOL,53.110,1.540,15.800,10.480,5.290,5.730,5.010,0.230,97.190
s_270483-7 [20337],VOL,53.110,1.310,16.890,9.610,4.610,8.440,3.680,0.740,98.390
s_100413-1 [21645],VOL,53.110,0.930,18.820,7.630,5.560,9.270,3.380,0.730,99.430
s_953-R [7437],VOL,53.120,1.270,17.490,8.524,4.230,8.200,3.110,0.870,96.814
s_DARE-35-SNT  [20576],VOL,53.138,1.136,18.071,8.710,4.948,8.347,3.238,1.026,98.613
s_121276-6 [20337],VOL,53.140,0.940,20.150,7.320,3.510,9.570,3.470,0.500,98.600
s_88G [22753],VOL,53.140,1.470,18.700,8.500,4.510,7.680,3.650,1.320,98.970
s_CL49 [24938],VOL,53.140,0.990,19.420,7.890,5.140,9.100,3.480,0.520,99.680
s_GU-CO-14 [24710],VOL,53.160,1.000,16.250,8.430,4.530,9.060,3.270,1.210,96.910
s_JUR-05 [23278],VOL,53.160,1.110,17.600,8.040,4.950,8.500,3.000,1.310,97.670
s_N-32 [14346],VOL,53.170,1.140,15.020,8.310,5.990,8.010,2.570,2.550,96.760
s_VIL15 [20576],VOL,53.170,1.089,16.883,8.920,5.403,9.606,2.953,0.625,98.649
s_L1 [25623],VOL,53.180,1.450,16.100,11.300,4.260,8.510,3.430,0.620,98.850
s_PIC08 [23134],VOL,53.180,0.960,18.770,7.900,4.570,10.600,3.010,0.480,99.470
s_CL117 [24938],VOL,53.190,0.770,19.570,7.360,3.700,6.890,3.540,0.440,95.460
s_JJ1-3 [24361],VOL,53.200,1.310,14.800,10.820,3.560,7.680,2.950,1.890,96.210
s_HK-CALC-ALKALINEANDESITE [7556],VOL,53.200,1.590,15.040,9.574,4.710,6.550,3.420,2.180,96.264
s_TAP-97-37-1 [13695],VOL,53.200,0.994,17.800,7.990,4.450,7.900,3.220,1.740,97.294
s_L13 [25623],VOL,53.210,1.460,16.030,11.460,4.220,8.530,3.650,0.640,99.200
s_OSO1 [20576],VOL,53.217,0.932,18.442,8.570,4.722,9.515,2.898,0.476,98.772
s_VO4 [11776],VOL,53.220,1.330,15.660,9.674,3.600,6.540,3.420,0.500,93.944
s_ANT-14-05 [21645],VOL,53.220,1.220,18.120,8.670,4.180,8.150,3.910,1.030,98.500
s_L4 [25623],VOL,53.220,1.470,16.220,11.260,4.290,8.640,3.430,0.620,99.150
s_PIC21 [23134],VOL,53.220,0.860,18.530,7.790,5.070,10.510,2.870,0.600,99.450
s_VIL27 [20576],VOL,53.222,1.129,17.183,8.610,5.163,9.862,2.823,0.676,98.667
s_PVM-15A [21041],VOL,53.230,0.932,15.880,7.680,7.010,8.960,2.780,0.870,97.342
s_DARE-24-THT [20576],VOL,53.238,1.049,18.428,7.700,4.765,9.988,2.932,0.713,98.812
s_UBI-13-05 [24348],VOL,53.240,0.840,17.480,5.520,2.630,4.870,3.650,2.350,90.580
s_260483-7 [20337],VOL,53.250,1.340,17.520,9.570,3.380,8.750,4.000,0.680,98.490
s_LG200 [22118],VOL,53.268,0.679,17.665,6.900,3.310,6.479,3.471,1.000,92.772
s_FB101012-1 [19945],VOL,53.270,1.050,18.040,10.140,3.800,7.450,3.770,0.640,98.160
s_16EQ15 [22096],VOL,53.270,1.060,17.590,8.240,5.100,8.520,3.630,1.260,98.670
s_16EQ13 [22096],VOL,53.270,1.060,17.590,8.240,5.100,8.520,3.630,1.260,98.670
s_DARE-165-CB  [20576],VOL,53.272,1.661,16.200,10.320,3.972,8.065,3.772,0.951,98.213
s_AN28-9 [23172],VOL,53.275,1.093,18.124,8.150,5.606,8.838,3.490,0.921,99.497
s_AN27-7 [23172],VOL,53.283,1.026,17.498,8.100,6.764,8.753,3.389,0.835,99.648
s_DARE-147-MC [20576],VOL,53.286,0.976,18.396,8.160,5.324,8.665,3.210,0.715,98.731
s_CL144 [24574],VOL,53.287,0.857,18.662,9.315,5.122,9.344,3.280,0.470,100.337
s_PVM-16 [21041],VOL,53.290,0.957,17.000,7.780,6.570,9.090,2.850,0.900,98.437
s_070380-3 [20337],VOL,53.290,0.800,17.430,7.890,5.500,9.500,3.430,0.940,98.780
s_L3 [25623],VOL,53.290,1.470,16.180,11.320,4.260,8.520,3.430,0.660,99.130
s_PB12017B [19324],VOL,53.291,0.579,17.331,8.730,5.953,8.690,3.346,0.679,98.601
s_AN27-8 [23172],VOL,53.299,0.849,18.149,7.320,6.025,8.782,3.194,1.009,98.627
s_CAS-27-84L [22303],VOL,53.300,0.960,16.800,7.520,3.350,5.290,4.180,1.690,93.090
s_BAR-01-85 [13695],VOL,53.300,1.521,16.000,7.320,3.070,7.650,3.810,2.500,95.171
s_VO163 [11776],VOL,53.300,1.450,16.690,8.484,3.880,7.570,3.190,2.660,97.224
s_DARE-125-CQ [20576],VOL,53.319,1.372,18.307,9.010,3.389,8.211,3.742,1.210,98.560
s_CH11 [7556],VOL,53.320,2.290,13.430,11.993,3.770,5.210,3.680,2.300,95.993
s_JK 198A [18493],VOL,53.320,1.040,18.100,8.250,4.780,8.450,3.050,0.580,97.570
s_PU13 [3461],VOL,53.320,1.140,15.400,8.160,7.850,8.240,2.680,1.780,98.570
s_11TPM32A [22118],VOL,53.331,1.358,15.774,6.830,3.170,7.123,3.632,1.415,92.632
s_4/27 [4953],VOL,53.340,1.720,13.740,7.265,7.010,7.450,2.710,3.490,96.725
s_PIC02 [23134],VOL,53.340,0.820,18.940,7.830,3.600,9.760,3.200,0.480,97.970
s_REV 016 [12606],VOL,53.350,0.940,17.230,7.700,5.220,7.960,3.930,1.500,97.830
s_L6 [25623],VOL,53.350,1.470,16.230,11.150,4.300,8.540,3.520,0.620,99.180
s_DRTP25^ [22118],VOL,53.351,1.117,15.915,8.630,2.113,5.925,2.892,1.690,91.633
s_AN27-11 [23172],VOL,53.353,1.053,19.146,7.790,4.793,8.888,3.656,0.809,99.488
s_NB69/00 [7067],VOL,53.360,1.290,17.290,7.740,2.810,7.840,3.250,2.700,96.280
s_140489-03 [7427],VOL,53.360,1.260,16.500,7.410,5.240,8.630,3.130,0.780,96.310
s_CHF3-P6-B [24927],VOL,53.360,0.910,18.760,7.668,3.750,7.940,3.420,0.580,96.388
s_DARE-124-CQ [20576],VOL,53.362,1.129,19.050,7.440,3.911,9.384,3.508,1.028,98.812
s_VIL28 [20576],VOL,53.364,1.159,18.018,8.500,4.299,9.665,2.947,0.742,98.693
s_CA-19-50 [24895],VOL,53.370,0.955,19.120,7.860,4.640,8.870,3.370,0.550,98.735
s_070380-2 [20337],VOL,53.370,0.780,17.010,8.020,6.150,9.360,3.390,0.950,99.030
s_HM-25 [6224],VOL,53.370,1.200,17.580,9.315,5.020,8.790,3.420,0.660,99.355
s_TO02 [7556],VOL,53.380,1.280,16.400,8.208,4.180,5.180,5.660,1.020,95.308
s_LP 32 [20236],VOL,53.380,1.050,17.890,6.900,1.980,7.470,4.990,2.830,96.490
s_180582-2 [20337],VOL,53.380,0.860,17.340,8.010,5.290,9.300,3.300,1.020,98.500
s_DARE-137-MC  [20576],VOL,53.388,1.044,17.997,8.670,5.179,8.251,3.302,0.813,98.643
s_TAP-003 [13695],VOL,53.390,1.810,16.700,7.580,4.270,6.880,4.230,2.260,97.120
s_CA-19-11 [24895],VOL,53.390,1.001,19.060,8.180,4.700,8.510,3.230,0.520,98.591
s_LDM-12-17I [20954],VOL,53.399,1.294,18.032,9.169,4.260,7.740,4.031,1.213,99.138
s_010A [8300],VOL,53.400,0.770,14.200,9.860,4.750,5.300,6.010,0.030,94.320
s_BAR-01-81 [13695],VOL,53.400,0.997,17.000,7.340,3.930,7.460,3.460,3.040,96.627
s_SUMGS9 [7890],VOL,53.400,0.750,19.100,5.826,1.830,5.990,6.590,4.260,97.746
s_REV 54 [12670],VOL,53.400,0.950,17.420,7.880,5.260,7.820,4.040,1.530,98.300
s_AYA-1A [5060],VOL,53.400,1.450,15.500,7.400,5.910,8.020,3.800,2.860,98.340
s_CM04-33A [21870],VOL,53.400,1.400,15.800,8.400,7.100,7.900,2.600,2.500,99.100
s_JK 193 [18493],VOL,53.400,1.500,16.080,11.310,4.260,8.600,3.650,0.630,99.430
s_AN27-5 [23172],VOL,53.408,1.181,18.558,8.540,4.264,8.563,3.753,0.878,99.145
s_88D [22753],VOL,53.410,1.450,18.060,7.870,3.320,7.350,4.360,1.770,97.590
s_7 [4889],VOL,53.410,1.870,16.710,7.243,5.380,7.300,2.780,3.150,97.843
s_HNT7L [20337],VOL,53.410,0.900,17.470,7.320,6.240,8.890,3.560,1.010,98.800
s_HNT8L [20337],VOL,53.410,0.900,17.470,7.320,6.240,8.890,3.560,1.010,98.800
s_CL04 [24938],VOL,53.420,1.040,19.530,8.020,4.050,8.830,3.560,0.470,98.920
s_S3 [5009],VOL,53.430,0.812,19.350,6.850,2.070,6.260,6.420,4.040,99.232
s_CL149 [24938],VOL,53.445,1.047,18.966,8.440,4.912,8.885,2.593,0.520,98.808
s_AS5 [7358],VOL,53.450,1.880,13.640,12.250,5.130,4.480,5.660,0.060,96.550
s_151282-10 [20337],VOL,53.460,1.180,18.970,8.520,3.490,8.810,3.790,0.610,98.830
s_270115-6 [21645],VOL,53.460,1.130,18.750,8.970,4.140,7.700,3.790,1.090,99.030
s_DARE-39-SNT  [20576],VOL,53.472,1.095,18.802,8.830,3.467,8.592,3.427,0.914,98.600
s_OSO19 [20576],VOL,53.487,1.018,17.879,9.000,4.293,9.373,3.034,0.595,98.680
s_DARE-133-MC  [20576],VOL,53.487,1.136,18.724,8.300,3.678,9.317,3.307,0.764,98.712
s_PVM-14 [21041],VOL,53.490,1.134,16.120,8.040,6.030,8.860,3.070,1.140,97.884
s_LLA-12-48C [22571],VOL,53.490,1.220,17.180,9.160,4.020,8.980,3.510,0.710,98.270
s_DARE-123-CQ [20576],VOL,53.494,1.111,18.885,7.650,3.979,9.119,3.474,1.081,98.793
s_OSO3 [20576],VOL,53.494,0.645,14.884,9.980,6.586,8.207,2.860,1.843,98.500
s_PQ01/75F  [21870],VOL,53.500,1.000,14.400,7.900,6.100,7.200,2.300,2.300,94.700
s_TU-12-25B [24931],VOL,53.500,1.400,16.700,8.190,4.200,7.800,3.600,2.100,97.490
s_L14 [25623],VOL,53.500,1.460,16.050,11.300,4.160,8.450,3.700,0.640,99.260
s_C139B [6219],VOL,53.500,1.320,21.400,8.470,3.700,6.970,3.400,0.820,99.580
s_DRTP25 [22118],VOL,53.502,1.127,15.906,8.650,2.103,5.934,2.883,1.624,91.729
s_T-VI [25100],VOL,53.510,0.950,14.510,7.070,9.900,6.570,3.110,1.930,97.550
s_DARE-146-MC [20576],VOL,53.514,1.138,17.912,8.620,4.611,8.739,3.323,0.805,98.662
s_M5-158 [7985],VOL,53.520,0.740,17.100,8.310,6.420,6.670,3.360,2.410,98.530
s_CUM-07 [13695],VOL,53.520,1.210,18.180,8.349,5.070,7.950,3.640,1.390,99.309
s_10H [4232],VOL,53.530,1.090,19.110,9.332,4.580,6.490,3.880,0.960,98.972
s_SCA-055 [24895],VOL,53.532,0.988,20.144,7.814,3.284,9.560,3.340,0.506,99.168
s_090491-3A [7427],VOL,53.540,0.620,20.510,5.860,2.700,8.100,3.920,0.750,96.000
s_S9 [5009],VOL,53.540,0.820,19.390,6.770,2.050,6.260,6.420,3.980,99.230
s_DU21-6 [7067],VOL,53.550,0.970,17.040,6.640,1.980,7.240,2.890,2.440,92.750
s_CALC-ALKALINEANDESITE [7556],VOL,53.550,1.340,15.460,9.044,4.870,7.360,3.490,1.220,96.334
s_HOR-06-01 [20917],VOL,53.550,0.810,17.420,7.480,5.550,9.460,3.300,0.980,98.550
s_ANT-15-11 [21645],VOL,53.550,1.150,19.580,7.810,3.140,9.040,3.890,0.800,98.960
s_CL155 [24574],VOL,53.558,0.890,18.230,9.614,5.374,9.089,3.280,0.490,100.525
s_VIL2 [20576],VOL,53.560,0.958,20.240,7.470,3.388,9.580,3.187,0.484,98.868
s_PMV-17 [21041],VOL,53.560,1.162,17.030,7.770,5.430,8.900,3.120,1.180,98.152
s_XG-0011 [6224],VOL,53.570,1.030,17.840,7.490,5.350,8.900,3.150,0.950,98.280
s_PIC07 [23134],VOL,53.570,0.950,18.420,7.940,4.590,10.590,3.060,0.500,99.620
s_260483-8 [20337],VOL,53.580,1.330,17.380,9.750,3.420,8.580,3.870,0.680,98.590
s_L12 [25623],VOL,53.580,1.470,16.120,11.180,4.110,8.310,3.550,0.650,98.970
s_DARE-107D-CQ [20576],VOL,53.581,1.091,18.345,7.920,4.687,8.435,3.414,1.273,98.747
s_REV 031 [12606],VOL,53.590,0.940,17.390,7.720,5.140,7.980,3.980,1.540,98.280
s_PIC13 [23134],VOL,53.600,0.940,18.360,8.660,4.970,9.440,3.040,0.500,99.510
s_R11-14  [21870],VOL,53.600,1.300,17.000,8.700,7.300,7.400,2.700,2.000,100.000
s_DARE-37-SNT  [20576],VOL,53.605,1.153,17.918,8.680,4.703,8.212,3.259,1.083,98.613
s_180395-3 [6222],VOL,53.610,1.000,15.860,7.881,3.980,6.190,3.130,0.950,92.601
s_LLA-12-51B [22571],VOL,53.610,1.270,15.970,9.670,4.340,8.410,3.610,0.710,97.590
s_F-1 [7944],VOL,53.610,1.060,18.040,8.763,4.510,8.120,3.330,1.490,98.923
s_VO170 [11776],VOL,53.630,1.490,15.560,8.910,4.350,7.600,3.210,2.420,97.170
s_REV 025  [12606],VOL,53.640,0.930,17.530,7.640,5.040,8.020,3.940,1.520,98.260
s_4/12 [4953],VOL,53.640,1.000,15.710,8.442,8.110,6.810,3.060,1.510,98.282
s_DARE-34-SNS  [20576],VOL,53.664,1.076,17.925,8.500,4.896,8.445,3.247,0.905,98.658
s_130108_01C [20676],VOL,53.665,1.524,17.661,9.310,3.295,6.843,3.836,1.008,97.142
s_DARE-38-SNS  [20576],VOL,53.678,1.186,17.725,9.080,4.512,7.868,3.316,1.206,98.570
s_CHA-12-15 [25790],VOL,53.678,1.330,16.667,7.790,5.633,7.618,4.031,1.894,98.640
s_RIO 107BIS [20960],VOL,53.680,0.980,18.730,7.490,4.570,7.200,4.050,1.400,98.100
s_AG14-014 [21640],VOL,53.680,0.870,17.870,7.730,5.010,8.210,3.810,1.600,98.780
s_PVM-13 [21041],VOL,53.690,1.120,16.270,7.870,6.040,8.810,3.140,1.150,98.090
s_XA-300 [6224],VOL,53.690,1.520,16.200,9.704,4.370,8.250,3.610,1.020,98.364
s_XG-126B [6224],VOL,53.690,1.080,17.770,7.865,4.830,8.740,3.590,0.870,98.435
s_LDD15-1 [22955],VOL,53.700,0.990,15.390,7.600,1.720,4.470,0.510,1.120,85.500
s_LH E195 [23496],VOL,53.700,0.840,18.750,6.390,3.740,6.890,2.860,2.340,95.510
s_032E [8300],VOL,53.700,0.610,13.400,8.390,8.650,9.100,3.250,0.270,97.370
s_CAL-147 [7894],VOL,53.700,1.180,17.640,8.023,4.560,7.640,3.380,1.800,97.923
s_CS91-2 [6214],VOL,53.700,1.180,17.670,6.291,5.960,9.310,3.530,0.580,98.221
s_4/59 [4953],VOL,53.700,1.430,16.220,7.578,6.900,7.030,3.350,2.020,98.228
s_T-V [25100],VOL,53.700,0.910,13.830,6.820,10.350,7.470,3.340,1.820,98.240
s_AR86 [5168],VOL,53.700,1.100,16.400,7.740,6.600,8.000,3.300,1.700,98.540
s_P6 [7556],VOL,53.710,2.180,13.340,11.840,3.990,5.450,3.870,1.900,96.280
s_4/57 [4953],VOL,53.710,1.410,16.160,7.602,6.900,6.900,3.430,2.040,98.152
s_REV 021  [12606],VOL,53.710,0.950,17.440,7.730,5.110,7.970,3.950,1.520,98.380
s_CL02 [24938],VOL,53.710,0.820,21.610,6.450,2.720,9.280,3.740,0.490,98.820
s_OSO9 [20576],VOL,53.713,1.128,19.080,8.580,3.322,9.001,3.241,0.630,98.695
s_AM7 [20531],VOL,53.720,1.440,18.150,7.640,2.310,4.640,5.910,3.210,97.020
s_PIC01 [23134],VOL,53.720,0.840,19.290,7.650,3.520,9.100,3.360,0.480,97.960
s_REV 019A [12606],VOL,53.730,0.950,17.350,7.790,5.160,7.860,3.910,1.530,98.280
s_CLHW1 [20917],VOL,53.730,0.880,17.910,7.510,6.060,9.580,3.380,0.980,100.030
s_AG14-031 [21640],VOL,53.740,0.760,18.760,7.840,5.000,8.050,3.490,0.570,98.210
s_CL121 [24938],VOL,53.740,1.050,18.580,8.170,4.350,8.330,3.420,0.600,98.240
s_AZL-01L [20337],VOL,53.740,0.940,18.000,7.530,5.530,8.170,3.900,1.200,99.010
s_DARE-107A-CQ [20576],VOL,53.748,1.110,18.263,7.950,4.631,8.375,3.380,1.271,98.728
s_ANT-15-06 [21645],VOL,53.750,0.930,20.220,6.930,3.730,8.810,3.740,0.830,98.940
s_HNT11L [20337],VOL,53.750,0.810,17.590,7.430,5.500,9.510,3.390,0.970,98.950
s_DARE-12-LQS [20576],VOL,53.754,1.380,17.195,10.150,3.519,7.718,4.189,0.570,98.474
s_DARE-107B-CQ  [20576],VOL,53.758,1.101,18.263,7.830,4.663,8.326,3.492,1.311,98.744
s_PIC24 [23134],VOL,53.760,1.060,18.940,7.640,2.720,8.980,3.650,0.480,97.230
s_FB240314-6 [19945],VOL,53.760,0.880,17.780,9.740,3.570,7.100,3.870,0.900,97.600
s_M5-303 [7985],VOL,53.760,0.660,15.740,11.590,2.960,6.760,4.180,2.510,98.160
s_REV 024  [12606],VOL,53.760,0.940,17.500,7.680,5.100,8.010,3.940,1.520,98.450
s_HNT6L [20337],VOL,53.760,0.830,17.620,7.560,5.530,9.480,3.360,0.990,99.130
s_FAR-1 [7437],VOL,53.760,1.060,18.090,8.785,4.520,8.140,3.340,1.500,99.195
s_SA-46 [23838],VOL,53.770,1.027,17.700,8.070,3.220,7.220,3.520,1.830,96.357
s_M-19 [7944],VOL,53.770,1.730,15.130,12.248,3.380,7.910,3.590,1.110,98.868
s_F-76 [7944],VOL,53.770,1.100,18.170,7.482,5.570,8.290,3.880,1.090,99.352
s_130116_03A [20676],VOL,53.775,1.542,17.548,9.420,3.122,6.516,3.898,1.068,96.889
s_CAB-09 [22863],VOL,53.778,0.496,20.068,5.405,1.711,5.588,4.480,4.331,95.856
s_TAP 97-25/1 [25332],VOL,53.780,1.847,16.010,7.960,4.027,6.471,3.936,2.001,96.032
s_CN-11-21B [19996],VOL,53.780,1.000,17.810,9.520,4.240,7.060,3.220,1.650,98.280
s_CA-19-08 [24895],VOL,53.780,1.015,18.990,7.730,4.360,8.920,3.370,0.580,98.745
s_CL148 [24938],VOL,53.788,1.034,18.270,8.070,4.338,8.301,2.916,0.605,97.322
s_BAR-00-33 [13695],VOL,53.800,1.094,16.800,6.870,4.390,7.080,3.700,2.570,96.304
s_REV 62 [12670],VOL,53.800,0.980,17.700,7.810,4.840,7.700,4.200,1.580,98.610
s_M3518 [7985],VOL,53.800,0.910,19.170,9.000,3.390,9.300,2.500,0.760,98.830
s_HNT3L [20337],VOL,53.800,0.830,17.490,7.540,5.650,9.370,3.340,0.980,99.000
s_J12-07  [21870],VOL,53.800,1.200,15.500,9.000,7.000,7.900,2.600,2.000,99.000
s_DV1 [23928],VOL,53.800,1.410,17.550,13.311,3.220,6.070,3.870,3.030,102.261
s_DV2 [23928],VOL,53.800,1.400,17.880,13.599,3.310,6.000,3.990,3.150,103.129
s_CA-19-32 [24895],VOL,53.820,1.044,19.150,7.730,4.450,8.720,3.440,0.600,98.954
s_270483-4 [20337],VOL,53.820,1.160,17.500,9.050,4.640,8.340,3.620,0.840,98.970
s_DARE-152-CB  [20576],VOL,53.825,1.113,17.357,9.210,4.221,8.513,3.469,0.882,98.591
s_PE01 [25791],VOL,53.830,1.310,16.390,7.320,5.550,7.660,3.630,2.130,97.820
s_ALDM-13-23 [20954],VOL,53.832,1.084,18.569,7.916,4.956,8.405,3.618,1.139,99.521
s_PIC34 [23134],VOL,53.840,1.090,18.100,7.950,3.950,8.770,3.370,0.770,97.840
s_HNT10L [20337],VOL,53.840,0.840,17.580,7.460,5.690,9.510,3.440,0.970,99.330
s_T-IV [25100],VOL,53.850,0.910,14.020,6.710,9.620,7.410,3.410,1.870,97.800
s_HNT4L [20337],VOL,53.850,0.820,17.510,7.440,5.670,9.380,3.470,1.000,99.140
s_CHF3-P6-A [24927],VOL,53.860,0.940,18.610,8.064,4.080,7.900,3.360,0.610,97.424
s_REV 030  [12606],VOL,53.860,0.950,17.350,7.690,5.120,7.920,3.960,1.540,98.390
s_CZ [21598],VOL,53.860,1.541,17.660,8.360,4.530,8.090,3.840,1.570,99.451
s_DARE-46-SNS  [20576],VOL,53.879,0.982,18.431,8.380,4.570,8.228,3.347,0.882,98.699
s_4/58 [4953],VOL,53.880,1.390,15.950,7.555,6.860,7.080,3.420,2.040,98.175
s_REV 027 [12606],VOL,53.880,0.930,17.550,7.680,5.020,7.960,3.970,1.510,98.500
s_LLA-12-36 [22571],VOL,53.890,1.300,16.080,9.710,4.200,8.210,3.730,0.740,97.860
s_1 [4889],VOL,53.890,1.750,15.030,6.933,7.550,6.350,2.820,4.310,98.633
s_CM04-52  [21870],VOL,53.900,1.400,16.700,8.200,7.100,6.500,2.200,1.700,97.700
s_LLA-12-26B [22571],VOL,53.900,1.210,16.230,9.940,3.970,8.190,3.750,0.650,97.840
s_QH2-1 [5180],VOL,53.900,1.020,18.030,7.410,4.290,8.020,4.170,1.310,98.150
s_J12-20  [21870],VOL,53.900,1.200,15.000,8.400,7.200,7.600,2.900,2.000,98.200
s_AR63 [5168],VOL,53.900,1.200,16.400,7.650,6.600,8.000,3.300,1.500,98.550
s_LDM-465 [6218],VOL,53.900,1.100,18.200,8.130,4.870,8.070,3.530,1.370,99.170
s_OSO4 [20576],VOL,53.908,1.028,18.024,8.970,4.315,8.793,3.135,0.539,98.712
s_35 [4956],VOL,53.910,0.950,16.210,8.120,6.500,6.330,2.570,2.230,96.820
s_LLA-11-25 [22571],VOL,53.910,1.300,16.350,9.680,4.100,8.270,3.720,0.710,98.040
s_G2-I [25100],VOL,53.910,0.930,14.210,7.070,10.130,7.820,3.350,1.780,99.200
s_P19 [7556],VOL,53.920,1.810,14.530,10.509,4.540,5.150,3.730,1.470,95.659
s_CA-19-06 [24895],VOL,53.920,1.016,18.970,7.720,4.260,8.960,3.380,0.590,98.816
s_CA-19-49 [24895],VOL,53.920,0.958,19.330,7.850,4.700,9.160,3.370,0.540,99.828
s_LLA-12-43 [22571],VOL,53.930,1.210,16.400,9.910,3.950,7.890,3.680,0.680,97.650
s_RW-670 [6223],VOL,53.930,1.880,15.230,9.476,3.220,7.800,3.730,2.470,97.736
s_P26 [7556],VOL,53.940,1.330,15.070,9.197,5.240,5.990,3.130,2.420,96.317
s_4/46 [4953],VOL,53.940,1.210,15.430,6.761,6.130,8.050,3.210,2.010,96.741
s_130130_05CI [20676],VOL,53.949,0.844,23.050,4.680,0.706,2.218,3.641,1.303,90.391
s_281079-2 [20337],VOL,53.950,1.280,17.100,9.300,4.140,8.490,3.530,0.790,98.580
s_A2268 [23729],VOL,53.950,1.540,17.020,9.210,2.760,9.370,3.750,1.010,98.610
s_S4 [5009],VOL,53.950,0.759,19.360,6.360,1.710,6.090,6.930,4.180,99.339
s_130129_01A [20676],VOL,53.955,1.119,17.932,8.270,4.610,7.999,3.656,0.806,98.347
s_IM2C [7419],VOL,53.960,1.510,15.360,8.162,8.260,5.570,4.820,0.100,97.742
s_LLA-12-27B [22571],VOL,53.960,1.200,16.260,9.860,3.960,8.200,3.720,0.660,97.820
s_PIC03 [23134],VOL,53.960,0.820,18.840,7.940,4.940,8.760,3.280,0.520,99.060
s_ANT-14-02 [21645],VOL,53.970,1.110,18.600,8.020,4.090,8.200,3.660,1.150,98.800
s_F-9 [7944],VOL,53.970,0.920,17.220,9.158,4.210,8.870,3.370,1.340,99.058
s_DARE-13-LON [20576],VOL,53.972,1.386,17.114,10.160,3.485,7.713,4.037,0.603,98.470
s_DARE-11-LON  [20576],VOL,53.974,1.372,17.269,10.080,3.470,7.615,4.075,0.585,98.440
s_BU4 [7556],VOL,53.980,1.030,16.390,7.471,4.650,7.940,3.280,1.980,96.721
s_NB49/00 [7067],VOL,53.980,1.300,17.430,7.850,3.400,7.690,2.720,2.450,96.820
s_DARE-45-SNT  [20576],VOL,53.999,1.274,18.806,8.790,2.940,7.978,3.733,1.074,98.594
s_JK 221 [18493],VOL,54.000,1.330,15.750,9.830,3.980,7.940,3.350,0.710,96.890
s_YAH-00-14 [13695],VOL,54.000,1.164,17.700,7.430,3.760,7.350,4.010,1.630,97.044
s_LLA-12-26A [22571],VOL,54.000,1.220,16.220,9.960,3.930,8.110,3.750,0.690,97.880
s_J12-14  [21870],VOL,54.000,1.200,14.900,8.400,7.200,7.700,2.600,2.000,98.000
s_LCM237 [6221],VOL,54.000,1.060,17.950,8.900,4.510,7.720,3.560,1.570,99.270
s_CN09-59  [21870],VOL,54.000,1.400,15.400,9.000,7.500,7.500,2.600,2.200,99.600
s_TH3B [20576],VOL,54.002,1.129,17.358,9.020,4.107,8.714,3.478,0.839,98.647
s_C31B [24439],VOL,54.010,1.220,15.980,8.940,6.070,6.950,5.080,0.250,98.500
s_TU.BA.B [21643],VOL,54.010,0.910,16.240,7.780,6.780,8.300,3.490,1.260,98.770
s_RIO-107 [22739],VOL,54.020,0.980,18.850,7.540,4.590,7.240,4.080,1.410,98.710
s_RH282 [7985],VOL,54.020,0.650,16.410,7.470,7.820,8.640,3.730,0.150,98.890
