T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1240.000000, 1.250000, 1.000000, 1.000000, 0.651390, 0.006750, 0.164640, 0.000240, 0.043630, 0.018710, 0.041320, 0.041870, 0.026970, 0.004480, 0.000000, 2462.732480, 3.848445
1220.000000, 1.250000, 1.000000, 1.000000, 0.651440, 0.006750, 0.164640, 0.000230, 0.043650, 0.018650, 0.041320, 0.041870, 0.026980, 0.004480, 0.000000, 2464.198940, 4.009310
1200.000000, 1.250000, 0.984950, 0.985910, 0.653340, 0.006850, 0.162670, 0.000240, 0.044200, 0.018870, 0.040130, 0.041870, 0.027300, 0.004530, 0.000000, 2464.307870, 4.183463
1180.000000, 1.250000, 0.952152, 0.955065, 0.657640, 0.007080, 0.157900, 0.000250, 0.045690, 0.019530, 0.037220, 0.041800, 0.028200, 0.004690, 0.000000, 2462.782960, 4.368746
1160.000000, 1.250000, 0.920295, 0.924902, 0.661570, 0.007330, 0.153300, 0.000260, 0.047240, 0.020230, 0.034630, 0.041490, 0.029120, 0.004850, 0.000000, 2461.854560, 4.556915
1140.000000, 1.250000, 0.888761, 0.894830, 0.665180, 0.007590, 0.148800, 0.000250, 0.048830, 0.021040, 0.032340, 0.040900, 0.030080, 0.005010, 0.000000, 2461.483920, 4.748775
1120.000000, 1.250000, 0.856876, 0.864197, 0.668530, 0.007870, 0.144320, 0.000260, 0.050690, 0.021780, 0.030260, 0.040000, 0.031100, 0.005200, 0.000000, 2461.702860, 4.948041
1100.000000, 1.250000, 0.824543, 0.832890, 0.671440, 0.008190, 0.139880, 0.000290, 0.052890, 0.022530, 0.028410, 0.038760, 0.032190, 0.005420, 0.000000, 2462.734130, 5.153343
1080.000000, 1.250000, 0.778060, 0.789920, 0.680260, 0.008640, 0.134550, 0.000200, 0.050750, 0.022760, 0.026540, 0.037210, 0.033890, 0.005210, 0.000000, 2456.333030, 5.460147
1060.000000, 1.250000, 0.721136, 0.738246, 0.694570, 0.009180, 0.128510, 0.000140, 0.044930, 0.022150, 0.024640, 0.035180, 0.036080, 0.004640, 0.000000, 2443.247090, 5.873056
1040.000000, 1.250000, 0.663862, 0.685729, 0.708000, 0.008460, 0.123240, 0.000110, 0.039540, 0.020730, 0.023570, 0.032420, 0.039850, 0.004080, 0.000000, 2429.834470, 6.286279
1020.000000, 1.250000, 0.625406, 0.649474, 0.720890, 0.009350, 0.117020, 0.000090, 0.036460, 0.020440, 0.021810, 0.030410, 0.039740, 0.003780, 0.000000, 2421.073460, 6.707431
1000.000000, 1.250000, 0.585012, 0.612037, 0.734330, 0.008150, 0.112420, 0.000070, 0.031380, 0.020080, 0.020720, 0.027630, 0.041940, 0.003260, 0.000000, 2408.869900, 7.131867
980.000000, 1.250000, 0.546264, 0.575268, 0.747210, 0.006930, 0.106910, 0.000060, 0.028330, 0.019120, 0.020460, 0.024740, 0.043300, 0.002950, 0.000000, 2398.768260, 7.568568
960.000000, 1.250000, 0.517242, 0.547334, 0.758300, 0.006030, 0.101300, 0.000050, 0.025480, 0.020070, 0.020230, 0.022320, 0.043560, 0.002660, 0.000000, 2391.401580, 7.972626
940.000000, 1.250000, 0.487039, 0.517939, 0.767390, 0.005290, 0.097310, 0.000040, 0.024080, 0.019200, 0.019820, 0.019710, 0.044650, 0.002520, 0.000000, 2384.977590, 8.409005
920.000000, 1.250000, 0.445134, 0.477021, 0.779090, 0.004560, 0.091870, 0.000040, 0.021990, 0.018560, 0.020410, 0.018210, 0.043010, 0.002260, 0.000000, 2377.671910, 8.884655
900.000000, 1.250000, 0.289463, 0.315316, 0.787370, 0.004030, 0.084920, 0.000040, 0.021070, 0.018890, 0.024350, 0.016600, 0.040630, 0.002100, 0.000000, 2375.856290, 9.337989
880.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
860.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
840.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
