T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1080.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1060.000000, 1.250000, 0.014602, 0.011537, 0.406641, 0.000492, 0.290284, 0.000000, 0.127177, 0.000000, 0.144601, 0.016564, 0.000129, 0.014111, 0.000000, 2872.057043
1040.000000, 1.250000, 0.046536, 0.036186, 0.391451, 0.000802, 0.274931, 0.000000, 0.161951, 0.000000, 0.135479, 0.017304, 0.000139, 0.017951, 0.000000, 2928.342741
1020.000000, 1.250000, 0.074311, 0.057875, 0.393141, 0.001072, 0.271302, 0.000000, 0.165123, 0.000000, 0.132091, 0.018831, 0.000155, 0.018278, 0.000000, 2932.204124
1000.000000, 1.250000, 0.098963, 0.077339, 0.397196, 0.001415, 0.268913, 0.000000, 0.164374, 0.000000, 0.129173, 0.020589, 0.000180, 0.018160, 0.000000, 2929.238453
980.000000, 1.250000, 0.122006, 0.095781, 0.401797, 0.001621, 0.266650, 0.000550, 0.161476, 0.001480, 0.125987, 0.022538, 0.000204, 0.017705, 0.000000, 2923.195572
960.000000, 1.250000, 0.143758, 0.113474, 0.407086, 0.001717, 0.264297, 0.000935, 0.157724, 0.003691, 0.122482, 0.024716, 0.000237, 0.017109, 0.000000, 2915.056577
940.000000, 1.250000, 0.166438, 0.131611, 0.415085, 0.001715, 0.261858, 0.001068, 0.151374, 0.006557, 0.118225, 0.027625, 0.000296, 0.016206, 0.000000, 2900.980600
920.000000, 1.250000, 0.190290, 0.150779, 0.424264, 0.001795, 0.259139, 0.001072, 0.145051, 0.008446, 0.113655, 0.030834, 0.000364, 0.015380, 0.000000, 2886.282355
900.000000, 1.250000, 0.212411, 0.168620, 0.435643, 0.001915, 0.256156, 0.001030, 0.137634, 0.009527, 0.108521, 0.034611, 0.000467, 0.014487, 0.000000, 2868.794106
880.000000, 1.250000, 0.237396, 0.188853, 0.447697, 0.002093, 0.252867, 0.000963, 0.129964, 0.010552, 0.103007, 0.038630, 0.000614, 0.013621, 0.000000, 2850.819882
860.000000, 1.250000, 0.266594, 0.212005, 0.459661, 0.004341, 0.248613, 0.000887, 0.121877, 0.011392, 0.096886, 0.042805, 0.000815, 0.012699, 0.000022, 2834.304693
840.000000, 1.250000, 0.307531, 0.244208, 0.472366, 0.006958, 0.238878, 0.000772, 0.110787, 0.017800, 0.092131, 0.046226, 0.001184, 0.011578, 0.001321, 2829.220546
820.000000, 1.250000, 0.345095, 0.273835, 0.484155, 0.008534, 0.232408, 0.000692, 0.102241, 0.021037, 0.087117, 0.049580, 0.001595, 0.010688, 0.001953, 2819.508691
800.000000, 1.250000, 0.378610, 0.300514, 0.495254, 0.009481, 0.227281, 0.000637, 0.094915, 0.023216, 0.082109, 0.052731, 0.002112, 0.009929, 0.002343, 2808.731604
780.000000, 1.250000, 0.416370, 0.331265, 0.504699, 0.009913, 0.223509, 0.000591, 0.089091, 0.024256, 0.078122, 0.055229, 0.002720, 0.009311, 0.002560, 2798.880779
760.000000, 1.250000, 0.450436, 0.358889, 0.512589, 0.010224, 0.221017, 0.000535, 0.083841, 0.024731, 0.072882, 0.056961, 0.005484, 0.008731, 0.003005, 2782.880399
740.000000, 1.250000, 0.481726, 0.384976, 0.519112, 0.010319, 0.219023, 0.000504, 0.079579, 0.025192, 0.068648, 0.058307, 0.007711, 0.008276, 0.003328, 2770.491494
720.000000, 1.250000, 0.508084, 0.407471, 0.524305, 0.010339, 0.217314, 0.000486, 0.076436, 0.025544, 0.065577, 0.059366, 0.009173, 0.007955, 0.003506, 2762.468263
700.000000, 1.250000, 0.535807, 0.431493, 0.529970, 0.010265, 0.215380, 0.000465, 0.073463, 0.025353, 0.062589, 0.059735, 0.011619, 0.007629, 0.003534, 2754.806228
680.000000, 1.250000, 0.955250, 0.780117, 0.648613, 0.006754, 0.164862, 0.000274, 0.043752, 0.018676, 0.041644, 0.042086, 0.026317, 0.004487, 0.002536, 2672.883932
660.000000, 1.250000, 0.956259, 0.788963, 0.648676, 0.006752, 0.164826, 0.000273, 0.043717, 0.018663, 0.041606, 0.042052, 0.026394, 0.004485, 0.002556, 2673.886881
