T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
900.000000, 1.250000, 0.001572, 0.000678, 0.000000, 0.004870, 0.000000, 0.000000, 0.895870, 0.000000, 0.000000, 0.000000, 0.000000, 0.099260, 0.000000, 5120.063600
880.000000, 1.250000, 0.002775, 0.001198, 0.000000, 0.005790, 0.000000, 0.000000, 0.895120, 0.000000, 0.000000, 0.000000, 0.000000, 0.099090, 0.000000, 5122.994030
860.000000, 1.250000, 0.004944, 0.002570, 0.116808, 0.005451, 0.062321, 0.000000, 0.702319, 0.000000, 0.024159, 0.010986, 0.000300, 0.077655, 0.000000, 4263.319151
840.000000, 1.250000, 0.017471, 0.012629, 0.393058, 0.002529, 0.197247, 0.002574, 0.262447, 0.000547, 0.070896, 0.040562, 0.001371, 0.028777, 0.000000, 3072.618750
820.000000, 1.250000, 0.032879, 0.025236, 0.460449, 0.002126, 0.216361, 0.003249, 0.173635, 0.000879, 0.070672, 0.051568, 0.002216, 0.018842, 0.000011, 2899.559644
800.000000, 1.250000, 0.055460, 0.044304, 0.503143, 0.001758, 0.227926, 0.002528, 0.122402, 0.008952, 0.059628, 0.056688, 0.003226, 0.013128, 0.000622, 2793.553670
780.000000, 1.250000, 0.081519, 0.066590, 0.531780, 0.001588, 0.229033, 0.002050, 0.095569, 0.011257, 0.050741, 0.062263, 0.004701, 0.010166, 0.000852, 2739.390753
760.000000, 1.250000, 0.109709, 0.090977, 0.553292, 0.001550, 0.226380, 0.001721, 0.079185, 0.011272, 0.043376, 0.067293, 0.006649, 0.008360, 0.000921, 2706.566308
740.000000, 1.250000, 0.145547, 0.121700, 0.573602, 0.001644, 0.221899, 0.001405, 0.065544, 0.009897, 0.036444, 0.072048, 0.009807, 0.006833, 0.000877, 2679.577179
720.000000, 1.250000, 0.224440, 0.187626, 0.599377, 0.001473, 0.214247, 0.000973, 0.046365, 0.007250, 0.026307, 0.068451, 0.030087, 0.004796, 0.000674, 2640.320861
700.000000, 1.250000, 0.951389, 0.766877, 0.749375, 0.002298, 0.136305, 0.000272, 0.014934, 0.003420, 0.011260, 0.036650, 0.043680, 0.001487, 0.000317, 2574.726845
