T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
900.000000, 1.250000, 0.998428, 0.999322, 0.722460, 0.002230, 0.130700, 0.000260, 0.012910, 0.003490, 0.010700, 0.035000, 0.042320, 0.001290, 0.038650, 2205.978870, 4.577558
880.000000, 1.250000, 0.997225, 0.998802, 0.723150, 0.002220, 0.130980, 0.000260, 0.011890, 0.003350, 0.010720, 0.035010, 0.042530, 0.001170, 0.038720, 2208.438230, 4.750974
860.000000, 1.250000, 0.995056, 0.997430, 0.724160, 0.002210, 0.131240, 0.000320, 0.010940, 0.003000, 0.010660, 0.035070, 0.042680, 0.001060, 0.038660, 2211.181660, 4.939956
840.000000, 1.250000, 0.982529, 0.987371, 0.726830, 0.002230, 0.129590, 0.000280, 0.009980, 0.003290, 0.009730, 0.034820, 0.043010, 0.000960, 0.039290, 2210.230320, 5.105718
820.000000, 1.250000, 0.967121, 0.974764, 0.730270, 0.002240, 0.127400, 0.000140, 0.009010, 0.003340, 0.008730, 0.034370, 0.043590, 0.000850, 0.040050, 2208.073880, 5.277356
800.000000, 1.250000, 0.944540, 0.955696, 0.734010, 0.002260, 0.124820, 0.000110, 0.008060, 0.003000, 0.007940, 0.033580, 0.044630, 0.000750, 0.040830, 2205.577550, 5.461413
780.000000, 1.250000, 0.918481, 0.933410, 0.737870, 0.002280, 0.121830, 0.000100, 0.007080, 0.002740, 0.007210, 0.032520, 0.045780, 0.000670, 0.041910, 2201.938660, 5.639129
760.000000, 1.250000, 0.890291, 0.909023, 0.741680, 0.002310, 0.118850, 0.000070, 0.006270, 0.002510, 0.006700, 0.030970, 0.046930, 0.000590, 0.043130, 2198.189080, 5.824499
740.000000, 1.250000, 0.852884, 0.869743, 0.747420, 0.002330, 0.115260, 0.000060, 0.005720, 0.002130, 0.006280, 0.028670, 0.048130, 0.000520, 0.043470, 2197.111130, 6.090960
720.000000, 1.250000, 0.767521, 0.770279, 0.762470, 0.002460, 0.107520, 0.000060, 0.005180, 0.002020, 0.006250, 0.025490, 0.046310, 0.000470, 0.041770, 2199.332780, 6.588085
700.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
