Title: mars_interm

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
150.00 945.00 38.664129 74.3769 0.747651 5.82305 0.509142 3.62331 0.244417 0.181498 3.96327 6.67876 2.90859 0.943428
150.00 940.00 37.354192 74.8327 0.71748 5.65886 0.490203 3.45604 0.244579 0.171487 3.90643 6.7111 2.86286 0.948258
150.00 935.00 36.140981 75.2733 0.688863 5.50054 0.47173 3.29531 0.244655 0.162398 3.85133 6.74069 2.81757 0.953599
150.00 930.00 35.015702 75.699 0.661691 5.34793 0.453745 3.14104 0.244636 0.154113 3.79798 6.76757 2.77288 0.959462
150.00 925.00 33.970313 76.1099 0.635861 5.20084 0.436267 2.99311 0.244512 0.146531 3.74641 6.79179 2.72891 0.965862
150.00 920.00 32.997541 76.5065 0.611278 5.05907 0.41931 2.8514 0.244278 0.139568 3.69663 6.81343 2.68573 0.972812
150.00 915.00 32.090844 76.8891 0.587857 4.92238 0.402879 2.71573 0.243929 0.133151 3.64866 6.83257 2.64338 0.980326
150.00 910.00 31.244360 77.2582 0.565516 4.79057 0.386978 2.58595 0.24346 0.12722 3.60251 6.84933 2.60186 0.988422
150.00 905.00 30.452839 77.6141 0.544184 4.66342 0.371607 2.46187 0.242867 0.121721 3.55817 6.86379 2.56118 0.997116
150.00 900.00 29.711585 77.9572 0.523795 4.54072 0.356763 2.34329 0.242149 0.116608 3.51567 6.87607 2.52133 1.00643
150.00 895.00 29.016393 78.2879 0.504288 4.42227 0.342439 2.23002 0.241303 0.111844 3.47499 6.88627 2.4823 1.01638
150.00 890.00 28.363496 78.6066 0.485608 4.30788 0.328628 2.12186 0.240329 0.107392 3.43615 6.89448 2.44406 1.027
150.00 885.00 27.749510 78.9137 0.467705 4.19737 0.315321 2.01861 0.239226 0.103224 3.39915 6.90082 2.40659 1.03831
150.00 880.00 27.171398 79.2094 0.450532 4.09057 0.302507 1.92008 0.237994 0.0993138 3.36401 6.90537 2.36989 1.05035
150.00 875.00 26.626424 79.4941 0.434047 3.9873 0.290174 1.82608 0.236634 0.0956378 3.33075 6.90824 2.33391 1.06314
150.00 870.00 26.112122 79.7681 0.418213 3.88743 0.278311 1.73642 0.235147 0.0921762 3.29937 6.9095 2.29864 1.07671
150.00 865.00 25.626264 80.0316 0.402993 3.79079 0.266905 1.6509 0.233534 0.0889109 3.2699 6.90924 2.26405 1.09112
150.00 860.00 25.166836 80.285 0.388355 3.69726 0.255941 1.56937 0.231799 0.0858262 3.24237 6.90755 2.23013 1.10639
150.00 855.00 24.732014 80.5284 0.374269 3.6067 0.245408 1.49163 0.229943 0.0829078 3.2168 6.90451 2.19685 1.12258
150.00 850.00 24.320142 80.762 0.360706 3.51899 0.235291 1.41754 0.22797 0.0801431 3.19324 6.90018 2.16419 1.13972
150.00 845.00 23.929717 80.9861 0.347643 3.43401 0.225578 1.34692 0.225884 0.0775208 3.17172 6.89464 2.13214 1.15789
150.00 840.00 23.559369 81.2007 0.335054 3.35164 0.216254 1.27962 0.223688 0.0750307 3.1523 6.88794 2.10066 1.17713
150.00 835.00 23.207855 81.406 0.322919 3.27179 0.207306 1.21549 0.221386 0.0726635 3.13502 6.88016 2.06976 1.1975
150.00 830.00 22.874039 81.6021 0.311216 3.19436 0.198721 1.15439 0.218983 0.0704111 3.11996 6.87135 2.03939 1.21907
150.00 825.00 22.053025 81.7557 0.296996 3.0891 0.192268 1.10093 0.21554 0.0677439 3.08849 6.96632 1.99274 1.23413
150.00 820.00 20.817256 81.8624 0.280515 2.95821 0.187863 1.05472 0.210774 0.0647434 3.0397 7.16873 1.93026 1.24205
150.00 815.00 19.727254 81.9582 0.265052 2.83529 0.183509 1.01033 0.205704 0.0619872 2.99406 7.36393 1.87062 1.25127
150.00 810.00 18.759468 82.0436 0.250532 2.71964 0.179212 0.967696 0.20041 0.0594438 2.95168 7.55226 1.81364 1.26186
150.00 805.00 17.895129 82.119 0.236886 2.61065 0.174978 0.926748 0.194958 0.0570872 2.91262 7.73405 1.75914 1.27384
150.00 800.00 17.119100 82.1849 0.224053 2.50778 0.170809 0.887422 0.189403 0.0548962 2.87695 7.90959 1.70696 1.28729
150.00 795.00 16.419044 82.2414 0.211975 2.41055 0.166709 0.849653 0.183792 0.0528527 2.84472 8.07915 1.65693 1.30224
150.00 790.00 15.784805 82.289 0.200601 2.31852 0.162679 0.813381 0.178163 0.0509414 2.816 8.24298 1.60893 1.31878
150.00 785.00 15.207948 82.3279 0.189883 2.23131 0.158722 0.778546 0.172549 0.0491493 2.79085 8.40132 1.56283 1.33697
150.00 780.00 14.681409 82.3582 0.179777 2.14857 0.154839 0.74509 0.166976 0.0474653 2.76934 8.55436 1.51851 1.3569
150.00 775.00 14.199231 82.3801 0.170244 2.06999 0.15103 0.71296 0.161465 0.0458796 2.75154 8.70229 1.47587 1.37867
150.00 770.00 13.756354 82.3937 0.161247 1.99528 0.147296 0.682102 0.156035 0.044384 2.73753 8.84528 1.43482 1.40237
150.00 765.00 13.348456 82.399 0.152751 1.92418 0.143638 0.652467 0.150701 0.0429711 2.72742 8.98348 1.39526 1.42811
150.00 760.00 12.971823 82.3961 0.144726 1.85645 0.140056 0.624007 0.145474 0.0416343 2.72132 9.11702 1.35712 1.45604
150.00 755.00 12.623248 82.385 0.137143 1.79189 0.136548 0.596676 0.140364 0.0403682 2.71936 9.24601 1.32032 1.4863
150.00 750.00 12.299950 82.3655 0.129975 1.7303 0.133117 0.57043 0.135379 0.0391676 2.7217 9.37055 1.2848 1.51904
150.00 745.00 11.999508 82.3376 0.123198 1.6715 0.12976 0.545228 0.130524 0.038028 2.7285 9.49071 1.2505 1.55444
150.00 740.00 11.719805 82.301 0.116789 1.61533 0.126478 0.521029 0.125804 0.0369457 2.73996 9.60656 1.21735 1.59272
150.00 735.00 11.458988 82.2556 0.110726 1.56163 0.12327 0.497794 0.121222 0.0359171 2.75632 9.71814 1.18531 1.63409
150.00 730.00 11.215428 82.2009 0.10499 1.51026 0.120135 0.475488 0.116781 0.0349391 2.77784 9.82548 1.15433 1.67881
150.00 725.00 10.987694 82.1368 0.0995621 1.46111 0.117074 0.454073 0.112482 0.0340091 2.80482 9.92857 1.12437 1.72716
150.00 720.00 10.774527 82.0626 0.0944262 1.41404 0.114085 0.433516 0.108326 0.0331244 2.83762 10.0274 1.09539 1.77948
150.00 715.00 10.574820 81.9779 0.0895661 1.36896 0.111168 0.413784 0.104313 0.0322832 2.87661 10.1219 1.06735 1.83612
150.00 710.00 10.387601 81.8821 0.0849669 1.32577 0.108322 0.394844 0.100443 0.0314835 2.92228 10.2121 1.04022 1.8975
150.00 705.00 10.212021 81.7743 0.080615 1.28436 0.105546 0.376668 0.0967152 0.0307238 2.97515 10.2978 1.01396 1.9641
150.00 700.00 10.047347 81.6538 0.0764977 1.24467 0.102839 0.359224 0.0931291 0.0300029 3.03584 10.379 0.988569 2.03646
