Title: mars_interm

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
150.00 945.00 99.954706 61.9356 1.96079 10.1621 0.450398 8.85252 0.285229 1.42655 5.91908 5.63545 2.4262 0.946129
150.00 940.00 99.953587 61.9362 1.96081 10.1622 0.439227 8.86268 0.285232 1.42656 5.91915 5.63552 2.42623 0.946139
150.00 935.00 99.952523 61.9369 1.96083 10.1623 0.428606 8.87233 0.285235 1.42658 5.91921 5.63558 2.42625 0.946149
150.00 930.00 99.951510 61.9375 1.96085 10.1624 0.418499 8.88152 0.285238 1.42659 5.91927 5.63563 2.42628 0.946159
150.00 925.00 99.950546 61.9381 1.96087 10.1625 0.408875 8.89027 0.285241 1.42661 5.91933 5.63569 2.4263 0.946168
150.00 920.00 99.949627 61.9387 1.96089 10.1626 0.399701 8.89861 0.285244 1.42662 5.91938 5.63574 2.42632 0.946177
150.00 915.00 99.948751 61.9392 1.9609 10.1627 0.390953 8.90656 0.285246 1.42663 5.91943 5.63579 2.42634 0.946185
150.00 910.00 99.947914 61.9398 1.96092 10.1628 0.382603 8.91415 0.285249 1.42664 5.91948 5.63584 2.42636 0.946193
150.00 905.00 99.947116 61.9403 1.96094 10.1629 0.374631 8.9214 0.285251 1.42665 5.91953 5.63588 2.42638 0.9462
150.00 900.00 99.946353 61.9407 1.96095 10.163 0.367014 8.92832 0.285253 1.42667 5.91958 5.63592 2.4264 0.946208
150.00 895.00 99.945623 61.9412 1.96097 10.163 0.359733 8.93494 0.285255 1.42668 5.91962 5.63596 2.42642 0.946215
150.00 890.00 99.944926 61.9416 1.96098 10.1631 0.352771 8.94127 0.285257 1.42669 5.91966 5.636 2.42644 0.946221
150.00 885.00 99.944259 61.942 1.96099 10.1632 0.346112 8.94733 0.285259 1.4267 5.9197 5.63604 2.42645 0.946227
150.00 880.00 99.943621 61.9424 1.96101 10.1632 0.339741 8.95312 0.285261 1.4267 5.91974 5.63608 2.42647 0.946233
150.00 875.00 99.943010 61.9428 1.96102 10.1633 0.333643 8.95866 0.285263 1.42671 5.91977 5.63611 2.42648 0.946239
150.00 870.00 99.942425 61.9432 1.96103 10.1634 0.327806 8.96397 0.285264 1.42672 5.91981 5.63615 2.4265 0.946245
150.00 865.00 99.941866 61.9435 1.96104 10.1634 0.322219 8.96905 0.285266 1.42673 5.91984 5.63618 2.42651 0.94625
150.00 860.00 99.941330 61.9438 1.96105 10.1635 0.316871 8.97391 0.285267 1.42674 5.91987 5.63621 2.42652 0.946255
150.00 855.00 99.940817 61.9442 1.96106 10.1635 0.31175 8.97856 0.285269 1.42674 5.9199 5.63624 2.42654 0.94626
150.00 850.00 99.940326 61.9445 1.96107 10.1636 0.306849 8.98302 0.28527 1.42675 5.91993 5.63626 2.42655 0.946265
150.00 845.00 99.939856 61.9448 1.96108 10.1636 0.302158 8.98728 0.285272 1.42676 5.91996 5.63629 2.42656 0.946269
150.00 840.00 99.939407 61.945 1.96109 10.1637 0.29767 8.99136 0.285273 1.42676 5.91999 5.63632 2.42657 0.946273
150.00 835.00 99.938977 61.9453 1.9611 10.1637 0.293377 8.99527 0.285274 1.42677 5.92001 5.63634 2.42658 0.946277
150.00 830.00 99.938566 61.9456 1.9611 10.1637 0.289271 8.999 0.285275 1.42678 5.92004 5.63636 2.42659 0.946281
150.00 825.00 99.938347 61.9457 1.96111 10.1638 0.287089 9.00098 0.285276 1.42678 5.92005 5.63638 2.4266 0.946283
150.00 820.00 99.938343 61.9457 1.96111 10.1638 0.28705 9.00102 0.285276 1.42678 5.92005 5.63638 2.4266 0.946283
150.00 815.00 99.938366 61.9457 1.96111 10.1638 0.287282 9.00081 0.285276 1.42678 5.92005 5.63637 2.4266 0.946283
150.00 810.00 99.938415 61.9457 1.96111 10.1638 0.287768 9.00037 0.285276 1.42678 5.92005 5.63637 2.42659 0.946283
150.00 805.00 99.938488 61.9456 1.96111 10.1638 0.288492 8.99971 0.285275 1.42678 5.92004 5.63637 2.42659 0.946282
150.00 800.00 99.938583 61.9455 1.9611 10.1637 0.289443 8.99884 0.285275 1.42678 5.92004 5.63636 2.42659 0.946281
150.00 795.00 99.938700 61.9455 1.9611 10.1637 0.290613 8.99778 0.285275 1.42677 5.92003 5.63636 2.42659 0.94628
150.00 790.00 99.938838 61.9454 1.9611 10.1637 0.291995 8.99652 0.285274 1.42677 5.92002 5.63635 2.42658 0.946279
150.00 785.00 99.938998 61.9453 1.9611 10.1637 0.293584 8.99508 0.285274 1.42677 5.92001 5.63634 2.42658 0.946277
150.00 780.00 99.939177 61.9452 1.96109 10.1637 0.295376 8.99345 0.285274 1.42677 5.92 5.63633 2.42658 0.946276
150.00 775.00 99.939377 61.9451 1.96109 10.1637 0.297369 8.99164 0.285273 1.42676 5.91999 5.63632 2.42657 0.946274
150.00 770.00 99.939596 61.9449 1.96108 10.1636 0.299561 8.98964 0.285272 1.42676 5.91998 5.6363 2.42657 0.946272
150.00 765.00 99.939836 61.9448 1.96108 10.1636 0.30195 8.98747 0.285272 1.42676 5.91996 5.63629 2.42656 0.946269
150.00 760.00 99.940095 61.9446 1.96107 10.1636 0.304537 8.98512 0.285271 1.42675 5.91995 5.63628 2.42655 0.946267
150.00 755.00 99.940373 61.9444 1.96107 10.1636 0.30732 8.98259 0.28527 1.42675 5.91993 5.63626 2.42655 0.946264
150.00 750.00 99.940672 61.9443 1.96106 10.1635 0.310301 8.97988 0.285269 1.42675 5.91991 5.63624 2.42654 0.946261
150.00 745.00 99.940990 61.9441 1.96106 10.1635 0.313481 8.97699 0.285268 1.42674 5.91989 5.63623 2.42653 0.946258
150.00 740.00 99.941329 61.9438 1.96105 10.1635 0.31686 8.97392 0.285267 1.42674 5.91987 5.63621 2.42652 0.946255
150.00 735.00 99.941688 61.9436 1.96104 10.1634 0.32044 8.97066 0.285266 1.42673 5.91985 5.63619 2.42652 0.946252
150.00 730.00 99.942067 61.9434 1.96104 10.1634 0.324224 8.96722 0.285265 1.42673 5.91983 5.63617 2.42651 0.946248
150.00 725.00 99.942466 61.9431 1.96103 10.1633 0.328212 8.9636 0.285264 1.42672 5.91981 5.63614 2.4265 0.946244
150.00 720.00 99.942886 61.9429 1.96102 10.1633 0.332407 8.95978 0.285263 1.42671 5.91978 5.63612 2.42649 0.94624
150.00 715.00 99.943327 61.9426 1.96101 10.1633 0.336812 8.95578 0.285262 1.42671 5.91975 5.63609 2.42648 0.946236
150.00 710.00 99.943790 61.9423 1.961 10.1632 0.341428 8.95158 0.28526 1.4267 5.91973 5.63607 2.42646 0.946232
150.00 705.00 99.944274 61.942 1.96099 10.1632 0.346259 8.94719 0.285259 1.4267 5.9197 5.63604 2.42645 0.946227
150.00 700.00 99.944779 61.9417 1.96098 10.1631 0.351307 8.9426 0.285258 1.42669 5.91967 5.63601 2.42644 0.946223
