Title: mars_interm

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 whitlockite 
150.00 840.00 99.939407 36.696663 10.094894 0.794601 6.225300 18.362967 0.000000 0.000000 0.759236 0.459665 
150.00 835.00 99.938977 36.677906 9.950946 0.785784 6.265923 18.455222 0.000000 0.000000 0.760772 0.459259 
150.00 830.00 99.938566 36.659797 9.814048 0.777451 6.304429 18.543051 0.000000 0.000000 0.762203 0.458614 
150.00 825.00 99.938347 36.620443 9.467670 0.772251 6.351328 18.684509 0.117361 0.000000 0.764110 0.463214 
150.00 820.00 99.938343 36.562781 8.942503 0.770519 6.403753 18.867939 0.339211 0.000000 0.766286 0.472569 
150.00 815.00 99.938366 36.511120 8.478989 0.769383 6.450007 19.028832 0.535191 0.000000 0.768090 0.480628 
150.00 810.00 99.938415 36.464501 8.067176 0.768794 6.490958 19.170842 0.709553 0.000000 0.769587 0.487591 
150.00 805.00 99.938488 36.422158 7.699132 0.768703 6.527319 19.296877 0.865681 0.000000 0.770828 0.493617 
150.00 800.00 99.938583 36.383472 7.368461 0.769069 6.559680 19.409275 1.006300 0.000000 0.771854 0.498833 
150.00 795.00 99.938700 36.347938 7.069946 0.769851 6.588535 19.509940 1.133629 0.000000 0.772696 0.503341 
150.00 790.00 99.938838 36.315139 6.799293 0.771012 6.614301 19.600434 1.249489 0.000000 0.773382 0.507226 
150.00 785.00 99.938998 36.284726 6.552934 0.772521 6.637332 19.682057 1.355393 0.000000 0.773933 0.510555 
150.00 780.00 99.939177 36.256407 6.327881 0.774348 6.657930 19.755892 1.452604 0.000000 0.774367 0.513384 
150.00 775.00 99.939377 36.229936 6.121613 0.776466 6.676359 19.822855 1.542186 0.000000 0.774699 0.515759 
150.00 770.00 99.939596 36.205102 5.931988 0.778850 6.692845 19.883723 1.625040 0.000000 0.774941 0.517716 
150.00 765.00 99.939836 36.181724 5.757175 0.781478 6.707588 19.939159 1.701935 0.000000 0.775104 0.519286 
150.00 760.00 99.940095 36.159646 5.595600 0.784328 6.720761 19.989735 1.773532 0.000000 0.775196 0.520494 
150.00 755.00 99.940373 36.138733 5.445904 0.787382 6.732521 20.035944 1.840398 0.000000 0.775226 0.521358 
150.00 750.00 99.940672 36.118866 5.306906 0.790621 6.743004 20.078215 1.903026 0.000000 0.775201 0.521893 
150.00 745.00 99.940990 36.099940 5.177579 0.794029 6.752333 20.116922 1.961843 0.000000 0.775125 0.522110 
150.00 740.00 99.941329 36.081865 5.057023 0.797589 6.760619 20.152392 2.017223 0.000000 0.775004 0.522015 
150.00 735.00 99.941688 36.064558 4.944449 0.801287 6.767961 20.184915 2.069493 0.000000 0.774842 0.521611 
150.00 730.00 99.942067 36.047945 4.839164 0.805107 6.774448 20.214744 2.118940 0.000000 0.774643 0.520899 
150.00 725.00 99.942466 36.031962 4.740558 0.809038 6.780162 20.242104 2.165816 0.000000 0.774411 0.519875 
150.00 720.00 99.942886 36.016548 4.648090 0.813064 6.785178 20.267193 2.210344 0.000000 0.774148 0.518530 
150.00 715.00 99.943327 36.001649 4.561288 0.817175 6.789563 20.290190 2.252720 0.000000 0.773857 0.516855 
150.00 710.00 99.943790 35.987216 4.479733 0.821358 6.793379 20.311251 2.293119 0.000000 0.773541 0.514834 
150.00 705.00 99.944274 35.973202 4.403058 0.825602 6.796683 20.330515 2.331693 0.000000 0.773203 0.512448 
150.00 700.00 99.944779 35.959566 4.330944 0.829894 6.799528 20.348107 2.368577 0.000000 0.772844 0.509672 
