Title: mars_interm

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 whitlockite 
150.00 815.00 99.938366 19.727254 3.194136 22.439088 48.108489 1.357068 0.000000 3.585159 1.527172 
150.00 810.00 99.938415 18.759468 3.193186 22.581454 48.462968 1.799192 0.000000 3.592852 1.549296 
150.00 805.00 99.938488 17.895129 3.194275 22.708028 48.778190 2.195081 0.000000 3.599342 1.568443 
150.00 800.00 99.938583 17.119100 3.197232 22.820834 49.059937 2.551646 0.000000 3.604819 1.585016 
150.00 795.00 99.938700 16.419044 3.201897 22.921561 49.312911 2.874509 0.000000 3.609435 1.599342 
150.00 790.00 99.938838 15.784805 3.208126 23.011638 49.540974 3.168293 0.000000 3.613316 1.611686 
150.00 785.00 99.938998 15.207948 3.215788 23.092280 49.747325 3.436831 0.000000 3.616561 1.622264 
150.00 780.00 99.939177 14.681409 3.224765 23.164528 49.934641 3.683325 0.000000 3.619257 1.631253 
150.00 775.00 99.939377 14.199231 3.234946 23.229280 50.105178 3.910474 0.000000 3.621471 1.638798 
150.00 770.00 99.939596 13.756354 3.246234 23.287317 50.260848 4.120564 0.000000 3.623263 1.645017 
150.00 765.00 99.939836 13.348456 3.258535 23.339324 50.403287 4.315546 0.000000 3.624682 1.650006 
150.00 760.00 99.940095 12.971823 3.271765 23.385902 50.533900 4.497091 0.000000 3.625770 1.653843 
150.00 755.00 99.940373 12.623248 3.285846 23.427583 50.653903 4.666642 0.000000 3.626564 1.656588 
150.00 750.00 99.940672 12.299950 3.300703 23.464839 50.764352 4.825445 0.000000 3.627094 1.658289 
150.00 745.00 99.940990 11.999508 3.316267 23.498095 50.866169 4.974586 0.000000 3.627387 1.658977 
150.00 740.00 99.941329 11.719805 3.332473 23.527731 50.960165 5.115012 0.000000 3.627467 1.658676 
150.00 735.00 99.941688 11.458988 3.349259 23.554088 51.047053 5.247552 0.000000 3.627354 1.657394 
150.00 730.00 99.942067 11.215428 3.366567 23.577477 51.127465 5.372932 0.000000 3.627065 1.655132 
150.00 725.00 99.942466 10.987694 3.384340 23.598180 51.201963 5.491794 0.000000 3.626618 1.651876 
150.00 720.00 99.942886 10.774527 3.402525 23.616454 51.271046 5.604703 0.000000 3.626027 1.647604 
150.00 715.00 99.943327 10.574820 3.421070 23.632533 51.335163 5.712156 0.000000 3.625304 1.642282 
150.00 710.00 99.943790 10.387601 3.439926 23.646633 51.394715 5.814594 0.000000 3.624462 1.635860 
150.00 705.00 99.944274 10.212021 3.459044 23.658949 51.450065 5.912404 0.000000 3.623512 1.628279 
150.00 700.00 99.944779 10.047347 3.478378 23.669663 51.501539 6.005930 0.000000 3.622464 1.619459 
