T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1100.000000, 1.250000, 0.997261, 0.975709, 0.462840, 0.014080, 0.156900, 0.000270, 0.102020, 0.084980, 0.105290, 0.023670, 0.008700, 0.004790, 0.036460, 2509.705560, 0.964380
1080.000000, 1.250000, 0.993711, 0.973877, 0.462770, 0.014150, 0.156250, 0.000270, 0.102360, 0.085230, 0.104990, 0.023730, 0.008740, 0.004810, 0.036700, 2513.869350, 1.086227
1060.000000, 1.250000, 0.912747, 0.882664, 0.471200, 0.013450, 0.148680, 0.000180, 0.100040, 0.088890, 0.101230, 0.025160, 0.009430, 0.004370, 0.037380, 2507.625290, 1.274802
1040.000000, 1.250000, 0.682135, 0.642444, 0.495240, 0.011350, 0.148310, 0.000110, 0.091030, 0.081730, 0.086240, 0.030750, 0.012390, 0.003350, 0.039500, 2461.485080, 1.540036
1020.000000, 1.250000, 0.461340, 0.430256, 0.530490, 0.009690, 0.148040, 0.000080, 0.077620, 0.064410, 0.067110, 0.039710, 0.017250, 0.002210, 0.043400, 2387.063780, 1.862645
1000.000000, 1.250000, 0.386764, 0.358493, 0.543530, 0.009230, 0.149910, 0.000060, 0.069690, 0.058530, 0.061040, 0.042650, 0.019700, 0.002010, 0.043660, 2367.979590, 2.084045
980.000000, 1.250000, 0.299344, 0.279155, 0.566460, 0.008420, 0.150230, 0.000050, 0.057220, 0.049160, 0.050210, 0.045470, 0.025270, 0.001520, 0.045970, 2324.170150, 2.348372
960.000000, 1.250000, 0.225300, 0.211410, 0.582810, 0.007400, 0.151890, 0.000050, 0.048250, 0.040150, 0.041460, 0.047590, 0.031170, 0.001160, 0.048090, 2290.974380, 2.562218
940.000000, 1.250000, 0.164313, 0.157313, 0.585180, 0.006690, 0.153660, 0.000030, 0.048150, 0.034870, 0.038220, 0.045460, 0.038780, 0.000970, 0.047990, 2289.846590, 2.751800
920.000000, 1.250000, 0.135409, 0.131416, 0.604080, 0.006710, 0.149710, 0.000030, 0.041040, 0.029730, 0.033210, 0.042220, 0.044170, 0.000840, 0.048250, 2271.724500, 3.062639
900.000000, 1.250000, 0.119939, 0.117847, 0.621450, 0.006430, 0.145350, 0.000020, 0.036190, 0.025930, 0.029940, 0.039350, 0.047140, 0.000740, 0.047450, 2263.174000, 3.387455
880.000000, 1.250000, 0.109968, 0.109606, 0.640640, 0.006120, 0.139360, 0.000030, 0.031820, 0.022950, 0.027400, 0.035470, 0.049350, 0.000650, 0.046210, 2256.795060, 3.758492
860.000000, 1.250000, 0.105097, 0.106411, 0.661730, 0.006240, 0.130970, 0.000020, 0.029090, 0.020630, 0.025570, 0.031580, 0.048930, 0.000570, 0.044660, 2253.331400, 4.177088
840.000000, 1.250000, 0.104771, 0.108355, 0.676790, 0.005980, 0.126110, 0.000020, 0.026160, 0.017990, 0.023440, 0.028630, 0.050360, 0.000500, 0.044010, 2247.612270, 4.526244
820.000000, 1.250000, 0.096086, 0.100823, 0.685400, 0.005380, 0.125020, 0.000020, 0.022420, 0.015370, 0.021730, 0.026470, 0.053920, 0.000460, 0.043800, 2242.120840, 4.809040
800.000000, 1.250000, 0.087315, 0.092526, 0.695160, 0.004550, 0.122580, 0.000020, 0.020150, 0.013720, 0.020840, 0.024000, 0.055770, 0.000420, 0.042790, 2241.570620, 5.143550
780.000000, 1.250000, 0.079469, 0.085014, 0.704360, 0.003950, 0.120120, 0.000010, 0.018260, 0.012630, 0.020200, 0.021810, 0.056240, 0.000380, 0.042050, 2240.997690, 5.479638
760.000000, 1.250000, 0.069716, 0.075243, 0.712920, 0.003470, 0.117890, 0.000010, 0.016090, 0.011350, 0.019490, 0.019720, 0.057290, 0.000340, 0.041430, 2239.717990, 5.819163
740.000000, 1.250000, 0.045890, 0.049722, 0.759070, 0.002940, 0.098400, 0.000010, 0.012120, 0.009470, 0.017010, 0.014010, 0.051480, 0.000340, 0.035180, 2238.211930, 6.883824
