T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1100.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1080.000000, 1.250000, 0.020765, 0.015923, 0.348872, 0.000720, 0.256957, 0.000000, 0.225884, 0.000000, 0.130589, 0.011831, 0.000060, 0.025078, 0.000000, 3046.114119
1060.000000, 1.250000, 0.079780, 0.061520, 0.355476, 0.000726, 0.260750, 0.000903, 0.202137, 0.014936, 0.129638, 0.013316, 0.000076, 0.022050, 0.000000, 3007.926234
1040.000000, 1.250000, 0.131925, 0.101481, 0.355332, 0.000658, 0.258678, 0.001128, 0.191358, 0.031837, 0.125648, 0.014748, 0.000082, 0.020523, 0.000000, 2992.012012
1020.000000, 1.250000, 0.173142, 0.133095, 0.359456, 0.000796, 0.256845, 0.001056, 0.184613, 0.038139, 0.122894, 0.016467, 0.000097, 0.019636, 0.000000, 2979.334076
1000.000000, 1.250000, 0.206621, 0.158583, 0.364726, 0.001095, 0.254878, 0.000982, 0.178731, 0.041921, 0.120236, 0.018334, 0.000120, 0.018968, 0.000000, 2967.605047
980.000000, 1.250000, 0.238409, 0.182257, 0.367985, 0.001604, 0.250797, 0.000836, 0.177867, 0.045333, 0.116409, 0.020295, 0.000143, 0.018728, 0.000000, 2963.891295
960.000000, 1.250000, 0.269696, 0.206728, 0.385021, 0.001994, 0.249714, 0.000863, 0.162443, 0.043926, 0.114978, 0.023752, 0.000171, 0.017134, 0.000000, 2936.604807
940.000000, 1.250000, 0.299135, 0.229110, 0.392488, 0.003088, 0.241339, 0.000797, 0.158295, 0.045757, 0.116020, 0.025272, 0.000214, 0.016730, 0.000000, 2942.465278
920.000000, 1.250000, 0.340525, 0.260318, 0.409057, 0.004695, 0.231867, 0.000707, 0.148110, 0.047041, 0.114353, 0.028141, 0.000391, 0.015639, 0.000000, 2932.644241
900.000000, 1.250000, 0.391804, 0.302217, 0.422470, 0.008162, 0.222834, 0.000586, 0.134842, 0.049784, 0.109626, 0.031988, 0.000679, 0.014346, 0.004683, 2935.522618
880.000000, 1.250000, 0.433271, 0.334587, 0.433030, 0.010191, 0.217062, 0.000519, 0.126688, 0.051550, 0.106619, 0.034582, 0.000841, 0.013489, 0.005419, 2927.664323
860.000000, 1.250000, 0.466423, 0.360367, 0.442677, 0.011507, 0.213208, 0.000476, 0.120396, 0.051997, 0.103162, 0.037122, 0.001008, 0.012803, 0.005644, 2916.756437
840.000000, 1.250000, 0.504727, 0.391262, 0.452307, 0.012128, 0.210133, 0.000446, 0.114375, 0.051936, 0.100062, 0.039501, 0.001221, 0.012157, 0.005741, 2904.307837
820.000000, 1.250000, 0.530793, 0.412074, 0.460722, 0.012641, 0.207748, 0.000430, 0.110196, 0.051033, 0.096762, 0.041653, 0.001456, 0.011668, 0.005692, 2893.474222
800.000000, 1.250000, 0.564996, 0.440598, 0.469140, 0.012728, 0.205597, 0.000416, 0.105554, 0.050394, 0.093953, 0.043601, 0.001779, 0.011172, 0.005660, 2882.241651
780.000000, 1.250000, 0.591237, 0.463086, 0.476442, 0.012784, 0.203959, 0.000405, 0.101878, 0.049432, 0.091338, 0.045261, 0.002140, 0.010779, 0.005580, 2872.671671
760.000000, 1.250000, 0.610865, 0.480413, 0.482252, 0.012873, 0.202390, 0.000396, 0.099444, 0.048562, 0.089083, 0.046496, 0.002510, 0.010488, 0.005507, 2866.023641
740.000000, 1.250000, 0.631505, 0.499220, 0.487654, 0.012836, 0.201136, 0.000390, 0.096872, 0.047808, 0.087199, 0.047527, 0.002913, 0.010222, 0.005436, 2859.588988
720.000000, 1.250000, 0.648646, 0.515734, 0.492240, 0.012821, 0.200029, 0.000381, 0.094930, 0.047005, 0.085521, 0.048348, 0.003345, 0.010008, 0.005364, 2854.549855
700.000000, 1.250000, 0.684980, 0.548115, 0.501191, 0.012449, 0.198306, 0.000367, 0.090551, 0.045134, 0.081773, 0.047985, 0.007574, 0.009538, 0.005128, 2840.048588
680.000000, 1.250000, 0.957141, 0.782426, 0.585822, 0.009569, 0.170638, 0.000273, 0.066416, 0.035211, 0.063158, 0.039511, 0.018411, 0.006960, 0.004038, 2759.985371
660.000000, 1.250000, 0.958141, 0.791343, 0.585927, 0.009558, 0.170594, 0.000272, 0.066359, 0.035180, 0.063098, 0.039481, 0.018490, 0.006956, 0.004081, 2760.580103
