T[C], P[kbar], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, G[J], V_partial[cm3], Rho[kg/m3], Entropy[J/K], Enthalpy[J], BulkMod[GPa], ShearMod[GPa], Vp[km/s], Vs[km/s], Mg#
1240.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1051.619900, 24.865410, 2545.929980, 0.164398, -802.861000, 19.087480, 0.000000, 2.738110, 0.000000, 0.485752
1220.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1048.194220, 24.843600, 2547.885645, 0.163093, -804.672000, 19.185790, 0.027660, 2.746740, 0.104190, 0.485752
1200.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1044.790090, 24.807290, 2552.019266, 0.161540, -806.816800, 20.236970, 0.603530, 2.871610, 0.486340, 0.485752
1180.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1041.393530, 24.750360, 2561.007831, 0.160078, -808.776100, 21.431370, 1.305510, 3.008340, 0.714060, 0.485752
1160.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1038.080710, 24.674440, 2562.380219, 0.158236, -811.304700, 22.273130, 1.719400, 3.096800, 0.819290, 0.485752
1140.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1034.796520, 24.681850, 2565.173495, 0.156878, -813.104800, 23.294500, 2.190440, 3.197390, 0.924240, 0.485752
1120.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1031.550810, 24.539030, 2572.933100, 0.154975, -815.647400, 26.148560, 3.938780, 3.485870, 1.234600, 0.485752
1100.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1028.352190, 24.475070, 2585.318508, 0.153849, -817.094300, 28.952740, 5.504100, 3.730730, 1.452900, 0.485752
1080.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1025.197870, 24.372690, 2589.463111, 0.152034, -819.473700, 31.448870, 6.788900, 3.932380, 1.609990, 0.485752
1060.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1022.089440, 24.266740, 2595.465185, 0.150310, -821.703800, 33.357530, 7.828890, 4.080210, 1.725110, 0.485752
1040.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1019.017400, 24.214240, 2599.466376, 0.148736, -823.704900, 35.070020, 8.630820, 4.201440, 1.808570, 0.485752
1020.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1015.986160, 24.098420, 2610.016267, 0.147188, -825.649700, 37.344440, 9.790380, 4.356380, 1.920070, 0.485752
1000.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1012.997120, 24.012110, 2617.739122, 0.145593, -827.635800, 39.137150, 10.660990, 4.472140, 1.999120, 0.485752
980.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1010.044140, 23.919330, 2625.780687, 0.144035, -829.546300, 41.012010, 11.575360, 4.588820, 2.078030, 0.485752
960.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1007.125950, 23.793010, 2638.512131, 0.142389, -831.539000, 42.696750, 12.314910, 4.682370, 2.137110, 0.485752
940.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1004.246420, 23.722230, 2644.913933, 0.140935, -833.271300, 43.881210, 12.826880, 4.747450, 2.177280, 0.485752
920.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -1001.404540, 23.447650, 2672.295464, 0.138927, -835.644400, 47.369030, 13.581220, 4.885710, 2.225110, 0.485752
900.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -998.604340, 23.325510, 2684.590767, 0.137248, -837.591400, 49.593710, 14.134540, 4.980190, 2.263250, 0.485752
880.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -995.870330, 22.650230, 2760.091182, 0.134805, -840.420300, 69.446990, 36.825470, 6.454500, 3.597410, 0.485752
860.000000, 1.250000, 0.589810, 0.009550, 0.170790, 0.000240, 0.066200, 0.035080, 0.062880, 0.039380, 0.019120, 0.006950, 0.000000, -993.167420, 22.636200, 2761.668243, 0.133481, -841.913600, 69.629680, 36.913020, 6.460520, 3.600500, 0.485752
