Title: dummy

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 1520.00 55.690049 41.5422 1.24441e-16 3.81127e-15 4.97435e-16 5.98711 0.1187 52.1913 0.16067 3.37858e-15 3.78721e-15 4.6046e-15
1000.00 1515.00 56.268522 41.5302 1.23162e-16 -1.25736e-15 4.92321e-16 6.04904 0.119609 52.1381 0.163076 1.81523e-15 1.42489e-15 -6.94016e-16
1000.00 1510.00 56.832539 41.5182 1.21939e-16 -1.24488e-15 4.87435e-16 6.11034 0.120499 52.0855 0.165491 -4.25657e-15 -8.8958e-16 -2.42018e-15
1000.00 1505.00 57.382528 41.5064 1.2077e-16 1.23295e-15 4.82763e-16 6.17097 0.121369 52.0333 0.167913 -1.21789e-15 3.67551e-15 -9.26275e-15
1000.00 1500.00 57.918897 41.4947 1.19652e-16 2.44307e-15 4.78293e-16 6.23092 0.12222 51.9818 0.170343 -4.17673e-15 2.55696e-16 6.12795e-15
1000.00 1495.00 58.442032 41.4832 1.18581e-16 2.4212e-15 4.74011e-16 6.29017 0.123053 51.9308 0.17278 2.75956e-16 2.53408e-16 -2.23503e-15
1000.00 1490.00 58.952303 41.4717 1.17555e-16 1.17199e-15 4.69908e-16 6.3487 0.123867 51.8805 0.175222 3.19162e-15 4.66046e-15 -5.44621e-15
1000.00 1485.00 59.450062 41.4605 1.1657e-16 -2.78923e-17 4.65974e-16 6.40648 0.124663 51.8307 0.177669 1.80851e-16 2.23341e-16 4.23247e-15
1000.00 1480.00 59.935647 41.4493 1.15626e-16 -1.18043e-15 4.62199e-16 6.46351 0.125441 51.7816 0.180121 -4.03619e-15 -1.93414e-15 -8.86818e-15
1000.00 1475.00 60.409381 41.4383 1.14719e-16 0 4.58574e-16 6.51977 0.126201 51.7331 0.182575 2.66969e-16 2.40928e-15 -2.27688e-15
1000.00 1470.00 60.871574 41.4275 1.13848e-16 0 4.55092e-16 6.57524 0.126944 51.6853 0.185032 -3.97413e-15 -1.9044e-15 -5.49571e-15
1000.00 1465.00 61.322522 41.4168 1.13011e-16 1.15373e-15 4.51746e-16 6.62991 0.12767 51.6381 0.18749 -1.13964e-15 2.3734e-15 9.69343e-16
1000.00 1460.00 61.762511 41.4063 1.12206e-16 3.43654e-15 4.48527e-16 6.68375 0.128379 51.5916 0.189949 1.65376e-15 1.29814e-15 -3.82172e-15
1000.00 1455.00 62.191817 41.396 1.11431e-16 2.27521e-15 4.45431e-16 6.73677 0.129072 51.5458 0.192407 2.59318e-16 2.38129e-16 -6.27916e-16
1000.00 1450.00 62.610705 41.3858 1.10686e-16 -2.36593e-15 4.42451e-16 6.78895 0.129749 51.5007 0.194863 -4.29305e-15 1.38659e-16 4.56879e-15
1000.00 1445.00 63.019432 41.3757 1.09968e-16 -1.12267e-15 4.39582e-16 6.84028 0.13041 51.4563 0.197317 -2.47382e-15 -4.95124e-15 9.43242e-16
1000.00 1440.00 63.418243 41.3658 1.09276e-16 2.23121e-15 4.36817e-16 6.89075 0.131056 51.4126 0.199767 -2.45826e-15 1.26425e-15 -6.15773e-16
1000.00 1435.00 63.807381 41.3561 1.0861e-16 0 4.34153e-16 6.94036 0.131686 51.3696 0.202212 -1.09526e-15 1.25654e-15 -3.69924e-15
1000.00 1430.00 64.187076 41.3466 1.07967e-16 0 4.31585e-16 6.98909 0.132302 51.3274 0.204651 2.51257e-16 -2.82441e-15 -2.14288e-15
1000.00 1425.00 64.557555 41.3372 1.07348e-16 -1.09592e-15 4.29108e-16 7.03694 0.132903 51.2859 0.207084 -1.08253e-15 -7.83132e-16 -2.13058e-15
1000.00 1420.00 64.919036 41.328 1.0675e-16 0 4.26719e-16 7.0839 0.133491 51.2451 0.209508 -2.40143e-15 -7.78771e-16 -3.6359e-15
1000.00 1415.00 65.271732 41.319 1.06173e-16 0 4.24413e-16 7.12998 0.134064 51.2051 0.211923 -3.70623e-15 2.26892e-16 -8.14319e-15
1000.00 1410.00 65.615851 41.3101 1.05616e-16 0 4.22187e-16 7.17517 0.134624 51.1658 0.214328 -1.06507e-15 -3.75911e-15 5.40912e-15
1000.00 1405.00 65.951595 41.3014 1.05079e-16 -2.6735e-15 4.20038e-16 7.21947 0.135171 51.1272 0.216722 -6.52092e-15 -3.23667e-15 -4.17692e-15
1000.00 1400.00 66.382447 41.3474 7.5696e-05 0.00553768 0.00314647 7.25339 0.135515 51.0337 0.221206 2.2511e-05 7.15445e-16 -1.05194e-15
1000.00 1395.00 66.993625 41.4914 0.000302262 0.0216367 0.0123587 7.2691 0.135502 50.8398 0.229754 8.85086e-05 2.21061e-16 -3.99135e-16
1000.00 1390.00 67.585804 41.6275 0.000539547 0.0378012 0.0217048 7.2849 0.135505 50.6535 0.238412 0.000155626 1.66987e-15 3.33019e-16
