Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 whitlockite cordierite 
1000.00 1425.00 99.999998 35.442443 64.557555 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1420.00 99.999998 35.080962 64.919036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1415.00 99.999998 34.728266 65.271732 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1410.00 99.999998 34.384147 65.615851 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1405.00 99.999998 34.048403 65.951595 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1400.00 99.999998 33.617551 66.152170 0.230277 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1395.00 99.999998 33.006372 66.109258 0.884368 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1390.00 99.999998 32.414194 66.067032 1.518772 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1385.00 99.999998 31.839960 66.025334 2.134704 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1380.00 99.999998 31.282689 65.984020 2.733288 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1375.00 99.999998 30.741465 65.942962 3.315571 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1370.00 99.999998 30.215433 65.902040 3.882524 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1365.00 99.999998 29.703797 65.861148 4.435053 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1360.00 99.999998 29.205808 65.820188 4.974002 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1355.00 99.999998 28.720768 65.779072 5.500158 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1350.00 99.999998 28.248021 65.737721 6.014256 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1345.00 99.999998 27.786954 65.696060 6.516984 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1340.00 99.999998 27.336987 65.654025 7.008985 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1335.00 99.999998 26.897580 65.611555 7.490863 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1330.00 99.999998 26.468219 65.568595 7.963183 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1325.00 99.999998 26.048425 65.525097 8.426476 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1320.00 99.999998 25.637743 65.481013 8.881241 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1315.00 99.999998 25.235744 65.436304 9.327949 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1310.00 99.999998 24.842024 65.390932 9.767042 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1305.00 99.999998 24.456199 65.344860 10.198939 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1300.00 99.999998 24.077906 65.298056 10.624035 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1295.00 99.999998 23.706801 65.250491 11.042706 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1290.00 99.999998 23.342555 65.202135 11.455307 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1285.00 99.999998 22.984857 65.152963 11.862178 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1280.00 99.999998 22.633409 65.102947 12.263642 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1275.00 99.999998 22.287926 65.052062 12.660010 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1270.00 99.999998 21.948134 65.000285 13.051579 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1265.00 99.999998 21.613770 64.947591 13.438636 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1260.00 99.999998 21.284580 64.893955 13.821462 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1255.00 99.999998 20.960317 64.839353 14.200328 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1250.00 99.999998 20.640740 64.783758 14.575500 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1245.00 99.999998 20.325613 64.727144 14.947240 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1240.00 99.999998 20.014703 64.669484 15.315811 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1235.00 99.999998 19.707780 64.610747 15.681470 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1230.00 99.999998 19.404613 64.550903 16.044482 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1225.00 99.999998 19.104969 64.489918 16.405110 0.000000 0.000000 0.000000 0.000000 0.000000 
1000.00 1220.00 99.999998 17.007365 64.175776 17.408383 0.715751 0.692723 0.000000 0.000000 0.000000 
1000.00 1215.00 99.999998 11.800588 63.499730 19.471347 2.478357 2.749976 0.000000 0.000000 0.000000 
1000.00 1210.00 99.999998 8.521732 63.125610 20.702707 3.611686 4.038263 0.000000 0.000000 0.000000 
1000.00 1205.00 99.999998 6.274330 62.905924 21.496935 4.407112 4.915698 0.000000 0.000000 0.000000 
1000.00 1200.00 99.999998 4.646372 62.775117 22.033789 4.998065 5.546654 0.000000 0.000000 0.000000 
1000.00 1195.00 99.999998 3.424835 62.699725 22.406039 5.452784 6.016615 0.000000 0.000000 0.000000 
1000.00 1190.00 99.999998 2.489571 62.659996 22.666740 5.808693 6.374998 0.000000 0.000000 0.000000 
1000.00 1185.00 99.999998 1.597901 62.622221 22.851182 6.098527 6.709474 0.120693 0.000000 0.000000 
1000.00 1180.00 99.999998 1.015132 62.582165 22.959404 6.260825 6.972309 0.210163 0.000000 0.000000 
1000.00 1175.00 99.999998 0.532715 62.541780 23.047615 6.387965 7.199130 0.279978 0.010814 0.000000 
1000.00 1170.00 99.999998 0.091334 62.497128 23.131052 6.490302 7.425088 0.335573 0.029522 0.000000 
1000.00 1165.00 99.999998 0.000000 62.477815 23.136720 6.509821 7.483571 0.359074 0.032997 0.000000 
1000.00 1160.00 99.999998 0.000000 62.466349 23.121436 6.513391 7.489403 0.376421 0.032997 0.000000 
1000.00 1155.00 99.999998 0.000000 62.455002 23.105935 6.517154 7.495251 0.393658 0.032997 0.000000 
1000.00 1150.00 99.999998 0.000000 62.443778 23.090243 6.521081 7.501117 0.410782 0.032997 0.000000 
1000.00 1145.00 99.999998 0.000000 62.432675 23.074383 6.525150 7.507001 0.427792 0.032997 0.000000 
1000.00 1140.00 99.999998 0.000000 62.421696 23.058376 6.529337 7.512902 0.444688 0.032997 0.000000 
1000.00 1135.00 99.999998 0.000000 62.410842 23.042244 6.533624 7.518823 0.461467 0.032997 0.000000 
1000.00 1130.00 99.999998 0.000000 62.400114 23.026004 6.537991 7.524762 0.478130 0.032997 0.000000 
1000.00 1125.00 99.999998 0.000000 62.389512 23.009674 6.542420 7.530721 0.494673 0.032997 0.000000 
1000.00 1120.00 99.999998 0.000000 62.379038 22.993269 6.546898 7.536699 0.511097 0.032997 0.000000 
1000.00 1115.00 99.999998 0.000000 62.368692 22.976804 6.551408 7.542697 0.527400 0.032997 0.000000 
1000.00 1110.00 99.999998 0.000000 62.358474 22.960292 6.555938 7.548714 0.543582 0.032997 0.000000 
1000.00 1105.00 99.999998 0.000000 62.348387 22.943747 6.560476 7.554750 0.559640 0.032997 0.000000 
1000.00 1100.00 99.999998 0.000000 62.338428 22.927180 6.565010 7.560807 0.575575 0.032997 0.000000 
1000.00 1095.00 99.999998 0.000000 62.328601 22.910602 6.569530 7.566882 0.591386 0.032997 0.000000 
1000.00 1090.00 99.999998 0.000000 62.318904 22.894024 6.574026 7.572977 0.607070 0.032997 0.000000 
1000.00 1085.00 99.999998 0.000000 62.309337 22.877454 6.578489 7.579091 0.622629 0.032997 0.000000 
1000.00 1080.00 99.999998 0.000000 62.299903 22.860903 6.582912 7.585224 0.638060 0.032997 0.000000 
1000.00 1075.00 99.999998 0.000000 62.290599 22.844378 6.587286 7.591375 0.653363 0.032997 0.000000 
1000.00 1070.00 99.999998 0.000000 62.281427 22.827887 6.591605 7.597544 0.668538 0.032997 0.000000 
1000.00 1065.00 99.999998 0.000000 62.272387 22.811438 6.595861 7.603731 0.683583 0.032997 0.000000 
1000.00 1060.00 99.999998 0.000000 62.263479 22.795038 6.600050 7.609936 0.698498 0.032997 0.000000 
1000.00 1055.00 99.999998 0.000000 62.254702 22.778693 6.604166 7.616157 0.713283 0.032997 0.000000 
1000.00 1050.00 99.999998 0.000000 62.246056 22.762409 6.608204 7.622395 0.727936 0.032997 0.000000 
1000.00 1045.00 99.999998 0.000000 62.237542 22.746193 6.612159 7.628648 0.742458 0.032997 0.000000 
1000.00 1040.00 99.999998 0.000000 62.229159 22.730049 6.616028 7.634917 0.756848 0.032997 0.000000 
1000.00 1035.00 99.999998 0.000000 62.220907 22.713983 6.619805 7.641200 0.771105 0.032997 0.000000 
1000.00 1030.00 99.999998 0.000000 62.212785 22.698000 6.623489 7.647497 0.785230 0.032997 0.000000 
1000.00 1025.00 99.999998 0.000000 62.204793 22.682105 6.627075 7.653807 0.799221 0.032997 0.000000 
1000.00 1020.00 99.999998 0.000000 62.196930 22.666301 6.630561 7.660130 0.813078 0.032997 0.000000 
1000.00 1015.00 99.999998 0.000000 62.189197 22.650592 6.633944 7.666465 0.826802 0.032997 0.000000 
1000.00 1010.00 99.999998 0.000000 62.181594 22.634982 6.637219 7.672814 0.840392 0.032997 0.000000 
1000.00 1005.00 99.999998 0.000000 62.174119 22.619473 6.640386 7.679174 0.853849 0.032997 0.000000 
1000.00 1000.00 99.999998 0.000000 62.166772 22.604069 6.643441 7.685546 0.867171 0.032997 0.000000 
1000.00 995.00 99.999998 0.000000 62.159553 22.588774 6.646385 7.691929 0.880360 0.032997 0.000000 
