Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
PU 02 29,VOL,69.53,0.74,14.24,4.03,0.67,2.27,5.25,2.64,99.37
PU 02 16,VOL,69.60,0.64,14.00,3.79,0.59,2.08,5.21,2.77,98.68
170299-6,VOL,69.89,0.07,14.92,1.44,0.27,1.23,3.76,2.92,94.50
PU 02 13,VOL,70.21,0.35,13.60,3.61,0.28,1.68,5.25,2.83,97.81
PU 05 25,VOL,70.23,0.39,14.33,4.25,0.37,1.86,5.32,2.81,99.56
PU 02 25,VOL,70.25,0.69,14.08,3.94,0.64,2.16,5.21,2.62,99.59
PU 02 36,VOL,70.36,0.43,13.93,4.19,0.46,2.05,5.26,2.60,99.29
PU 02 34,VOL,70.91,0.34,13.79,4.20,0.31,1.77,5.18,2.79,99.29
05-12a,VOL,71.06,0.25,14.17,2.00,0.47,1.71,3.91,2.71,96.27
170299-1K,VOL,71.11,0.15,13.31,1.55,0.27,1.43,4.02,2.98,94.82
PU 02 26,VOL,71.14,0.38,13.89,3.89,0.29,1.72,5.34,2.79,99.43
T-13A,VOL,72.18,0.13,14.76,1.24,0.43,1.21,4.27,2.89,97.11
05-20a,VOL,72.85,0.19,13.83,1.61,0.33,1.55,4.01,2.86,97.24
05-07a,VOL,73.78,0.15,13.76,1.36,0.26,1.47,4.08,2.93,97.79
06-16b,VOL,73.86,0.16,13.96,1.43,0.32,1.62,4.14,2.94,98.42
Cha-1,VOL,74.44,0.29,14.94,1.36,0.27,1.43,4.11,2.89,99.73
