Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
05-3C,VOL,52.48,0.97,18.16,8.36,5.17,8.28,2.82,0.84,97.08
JK 257,VOL,52.50,1.10,17.18,9.19,4.50,8.62,2.76,0.49,96.34
11R - 1999 Scoria,VOL,52.52,1.23,17.11,9.07,5.64,9.47,3.16,0.67,98.87
120306/02B,VOL,52.52,0.97,20.20,7.71,3.99,9.82,3.06,0.56,98.83
120306/02B,VOL,52.52,0.97,20.20,7.71,3.99,9.82,3.06,0.56,98.83
6R - 2000 Reticulite,VOL,52.53,1.23,17.19,8.97,5.77,9.52,3.22,0.68,99.11
FB170812-1,VOL,52.58,1.10,18.26,10.56,4.10,7.76,3.83,0.55,98.74
1780N-89,VOL,52.60,1.10,17.30,9.09,5.63,9.03,3.12,0.81,98.68
CLD238B,VOL,52.61,1.06,18.19,9.18,4.73,8.78,3.37,0.71,98.63
Upper - G - 12,VOL,52.62,0.98,18.62,8.36,4.83,9.96,2.75,0.61,98.73
7R - 2000 Reticulite,VOL,52.64,1.24,17.07,9.06,5.90,9.46,3.20,0.68,99.25
130111_02Bi,VOL,52.66,1.24,17.65,9.34,4.29,8.88,3.78,0.64,98.47
JK 285,VOL,52.69,1.08,17.51,9.08,5.77,9.32,3.10,0.67,99.22
JK 213,VOL,52.72,1.09,16.74,9.02,4.27,8.71,3.16,0.54,96.25
CLD323A,VOL,52.72,1.08,17.32,9.34,5.07,8.95,3.43,0.70,98.62
126792,VOL,52.73,1.21,18.05,10.46,4.57,8.42,3.93,0.47,99.84
FB240314-4,VOL,52.74,1.02,18.12,9.61,3.99,7.72,3.74,0.54,97.48
H-V - 1984 Lava,VOL,52.76,1.17,17.03,9.07,5.91,9.54,3.20,0.67,99.35
120308/03F,VOL,52.76,1.17,18.71,9.25,5.07,7.91,3.08,0.65,98.62
120308/03F,VOL,52.76,1.17,18.71,9.25,5.07,7.91,3.08,0.65,98.62
10R - 1999 Scoria,VOL,52.79,1.23,17.15,9.08,5.74,9.49,3.18,0.68,99.34
Jk 228,VOL,52.80,1.09,17.96,8.89,4.71,8.86,3.15,0.71,98.17
250281-02 161282-03,VOL,52.81,0.96,18.91,8.71,3.91,9.71,3.28,0.59,98.88
CLD160O,VOL,52.81,1.20,18.62,9.47,4.22,8.72,3.03,0.53,98.61
Lower - D - 09,VOL,52.83,1.03,19.68,8.13,3.88,9.86,2.76,0.60,98.77
JK 198b,VOL,52.84,1.16,17.52,9.44,4.64,8.85,3.11,0.54,98.10
1971 N6,VOL,52.85,1.11,16.76,9.94,6.39,9.76,3.06,0.64,100.50
13R - 1984 Lava,VOL,52.89,1.19,16.90,9.07,6.05,9.58,3.16,0.66,99.50
130117_01E,VOL,52.92,1.01,18.35,8.01,5.28,8.62,3.45,0.73,98.36
Lower - C - 03,VOL,52.93,1.01,19.40,8.04,4.03,9.96,2.84,0.58,98.79
