Title: dummy

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
1000.00 965.00 100.000000 11.375989 0.000000 27.925573 16.277100 38.978170 0.000000 0.000000 3.793617 1.526596 0.122955 
1000.00 960.00 100.000000 11.147635 0.000000 27.921323 16.373795 39.110521 0.000000 0.000000 3.696894 1.621543 0.128290 
1000.00 955.00 100.000000 10.934978 0.000000 27.914347 16.462069 39.236562 0.000000 0.000000 3.609386 1.709566 0.133093 
1000.00 950.00 100.000000 10.736553 0.000000 27.904898 16.542708 39.356854 0.000000 0.000000 3.530240 1.791343 0.137404 
1000.00 945.00 100.000000 10.551067 0.000000 27.893194 16.616420 39.471896 0.000000 0.000000 3.458689 1.867476 0.141258 
1000.00 940.00 100.000000 10.377374 0.000000 27.879426 16.683844 39.582128 0.000000 0.000000 3.394044 1.938498 0.144686 
1000.00 935.00 100.000000 9.198391 0.000000 27.934484 16.727883 39.987788 0.000000 0.593995 3.353947 2.028965 0.174546 
1000.00 930.00 100.000000 7.938251 0.000000 27.981180 16.771612 40.420375 0.000000 1.243473 3.321832 2.116102 0.207175 
1000.00 925.00 100.000000 6.254400 0.187199 28.048370 16.569926 41.008664 0.000000 2.156035 3.335252 2.182542 0.257612 
1000.00 920.00 100.000000 4.848152 0.344997 28.077603 16.405405 41.524419 0.000000 2.912020 3.351774 2.235389 0.300241 
1000.00 915.00 100.000000 3.675929 0.469233 28.077546 16.283831 41.977479 0.000000 3.532964 3.367659 2.279344 0.336013 
1000.00 910.00 100.000000 2.667255 0.569617 28.056928 16.192717 42.388477 0.000000 4.057904 3.383062 2.316962 0.367077 
1000.00 905.00 100.000000 1.774132 0.652623 28.021364 16.123846 42.771801 0.000000 4.513285 3.398068 2.349964 0.394916 
1000.00 900.00 100.000000 0.962217 0.722736 27.974567 16.071624 43.138111 0.000000 4.917855 3.412721 2.379563 0.420605 
1000.00 895.00 100.000000 0.205648 0.783172 27.919020 16.032141 43.495844 0.000000 5.285512 3.427042 2.406643 0.444978 
1000.00 890.00 100.000000 0.000000 0.803295 27.868133 16.026180 43.604764 0.000000 5.386034 3.442131 2.417774 0.451689 
1000.00 885.00 100.000000 0.000000 0.809625 27.821300 16.030531 43.617156 0.000000 5.389116 3.457326 2.423256 0.451689 
1000.00 880.00 100.000000 0.000000 0.815987 27.774891 16.034698 43.629578 0.000000 5.392113 3.472205 2.428840 0.451689 
1000.00 875.00 100.000000 0.000000 0.822381 27.728897 16.038691 43.642026 0.000000 5.395027 3.486772 2.434518 0.451689 
1000.00 870.00 100.000000 0.000000 0.822381 27.728897 16.038691 43.642026 0.000000 5.395027 3.486772 2.434518 0.451689 
1000.00 865.00 100.000000 0.000000 0.835286 27.639096 16.046745 43.558236 0.107483 5.400803 3.514574 2.446088 0.451689 
1000.00 860.00 100.000000 0.000000 0.841795 27.594779 16.050540 43.516461 0.161130 5.403581 3.528038 2.451988 0.451689 
1000.00 855.00 100.000000 0.000000 0.848344 27.550826 16.054185 43.475894 0.213597 5.406285 3.541221 2.457957 0.451689 
1000.00 850.00 100.000000 0.000000 0.854933 27.507230 16.057690 43.436504 0.264913 5.408920 3.554129 2.463992 0.451689 
1000.00 845.00 100.000000 0.000000 0.861564 27.463981 16.061062 43.398263 0.315102 5.411487 3.566765 2.470086 0.451689 
1000.00 840.00 100.000000 0.475502 0.826125 27.420644 16.096001 43.359468 0.363763 5.407220 3.577104 2.474172 0.000000 
1000.00 835.00 100.000000 0.475124 0.833628 27.378208 16.098264 43.323465 0.411794 5.409839 3.589229 2.480448 0.000000 
1000.00 830.00 100.000000 0.474757 0.841164 27.336088 16.100433 43.288528 0.458774 5.412393 3.601096 2.486767 0.000000 
1000.00 825.00 100.000000 0.474757 0.841164 27.336088 16.100433 43.288528 0.458774 5.412393 3.601096 2.486767 0.000000 
1000.00 820.00 100.000000 0.474757 0.841164 27.336088 16.100433 43.288528 0.458774 5.412393 3.601096 2.486767 0.000000 
1000.00 815.00 100.000000 0.474757 0.841164 27.336088 16.100433 43.288528 0.458774 5.412393 3.601096 2.486767 0.000000 
1000.00 810.00 100.000000 0.473379 0.871661 27.170654 16.108277 43.158944 0.636621 5.422009 3.646069 2.512385 0.000000 
1000.00 805.00 100.000000 0.473057 0.879381 27.130027 16.110055 43.128970 0.678673 5.424273 3.656706 2.518856 0.000000 
1000.00 800.00 100.000000 0.472744 0.887144 27.089682 16.111768 43.099920 0.719801 5.426485 3.667109 2.525347 0.000000 
