Title: dummy

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 985.00 87.516813 48.57 1.73689 14.2945 2.92617 11.2065 0.028638 6.78 11.9883 2.29138 0.127708 0.0498056
1000.00 980.00 87.826997 48.5901 1.74868 14.2869 2.91998 11.1972 0.0329439 6.76352 11.9849 2.29239 0.12958 0.0538011
1000.00 975.00 88.113343 48.6088 1.75936 14.2801 2.91429 11.1882 0.0370968 6.7483 11.9818 2.29337 0.131368 0.0573862
1000.00 970.00 88.378299 48.6261 1.76908 14.274 2.90906 11.1795 0.041104 6.73419 11.9789 2.29432 0.133077 0.0606033
1000.00 965.00 88.624011 48.6422 1.77795 14.2687 2.90424 11.1712 0.0449735 6.7211 11.9763 2.29522 0.134712 0.0634886
1000.00 960.00 88.852365 48.6571 1.78606 14.2639 2.89979 11.1632 0.0487129 6.70892 11.9739 2.2961 0.136276 0.066073
1000.00 955.00 89.065022 48.671 1.79352 14.2597 2.89566 11.1555 0.0523298 6.69758 11.9716 2.29694 0.137773 0.068383
1000.00 950.00 89.263446 48.6841 1.8004 14.256 2.89184 11.148 0.0558312 6.68698 11.9695 2.29775 0.139208 0.0704412
1000.00 945.00 89.448932 48.6962 1.80674 14.2527 2.88829 11.1408 0.0592239 6.67708 11.9676 2.29852 0.140583 0.0722671
1000.00 940.00 89.622626 48.7076 1.81262 14.2498 2.88498 11.1339 0.0625144 6.6678 11.9657 2.29926 0.141902 0.0738773
1000.00 935.00 90.801608 49.0381 1.81361 14.1869 2.85657 11.0218 0.0705884 6.5914 11.8943 2.28529 0.153452 0.0879667
1000.00 930.00 92.061749 49.3894 1.81283 14.1216 2.8264 10.9016 0.080269 6.5111 11.8164 2.26933 0.168116 0.102982
1000.00 925.00 93.745600 49.8235 1.80894 14.0396 2.78649 10.7427 0.116146 6.40632 11.7136 2.24575 0.191236 0.125753
1000.00 920.00 95.151848 50.1747 1.80499 13.9768 2.75346 10.6117 0.144464 6.32105 11.6271 2.2255 0.215833 0.144396
1000.00 915.00 96.324071 50.4605 1.80113 13.9289 2.72602 10.5033 0.165835 6.25136 11.5539 2.20809 0.241295 0.159633
1000.00 910.00 97.332745 50.7012 1.79729 13.8915 2.70239 10.4103 0.182396 6.19228 11.4896 2.1926 0.267753 0.172584
1000.00 905.00 98.225867 50.9102 1.7934 13.8616 2.68143 10.3281 0.195516 6.14058 11.4315 2.17841 0.295361 0.183984
1000.00 900.00 99.037782 51.0964 1.78942 13.8372 2.66232 10.2533 0.206113 6.09403 11.3775 2.16507 0.324305 0.194346
1000.00 895.00 99.794351 51.2666 1.78529 13.817 2.64446 10.1836 0.214824 6.05103 11.3261 2.15225 0.354808 0.204049
1000.00 890.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 885.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 880.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 875.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 870.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 865.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 860.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 855.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 850.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 845.00 100.000000 51.3122 1.7841 13.812 2.6396 10.1646 0.217 6.0394 11.312 2.1487 0.3637 0.2067
1000.00 840.00 99.524497 51.5494 1.79192 13.8779 2.65044 10.2132 0.210731 6.06224 11.1198 2.15897 0.365382 -4.63896e-16
1000.00 835.00 99.524875 51.5494 1.79194 13.8779 2.65046 10.2131 0.210887 6.06225 11.1198 2.15896 0.365382 -1.02057e-15
1000.00 830.00 99.525243 51.5493 1.79196 13.8778 2.65048 10.2131 0.21104 6.06227 11.1197 2.15895 0.365383 7.11301e-16
1000.00 825.00 99.525243 51.5493 1.79196 13.8778 2.65048 10.2131 0.21104 6.06227 11.1197 2.15895 0.365383 7.11301e-16
1000.00 820.00 99.525243 51.5493 1.79196 13.8778 2.65048 10.2131 0.21104 6.06227 11.1197 2.15895 0.365383 7.11301e-16
1000.00 815.00 99.525243 51.5493 1.79196 13.8778 2.65048 10.2131 0.21104 6.06227 11.1197 2.15895 0.365383 7.11301e-16
1000.00 810.00 99.526620 51.549 1.79204 13.8776 2.65055 10.2129 0.21162 6.06234 11.1196 2.15892 0.365385 -6.4944e-16
1000.00 805.00 99.526942 51.5489 1.79206 13.8776 2.65056 10.2129 0.211757 6.06235 11.1196 2.15891 0.365386 8.96843e-16
1000.00 800.00 99.527256 51.5488 1.79207 13.8776 2.65058 10.2129 0.211892 6.06237 11.1195 2.15891 0.365386 -1.5772e-15
