T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1240.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1220.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1200.000000, 1.250000, 0.020468, 0.019468, 0.512070, 0.000000, 0.312370, 0.000000, 0.000000, 0.000000, 0.138220, 0.036710, 0.000620, 0.000000, 0.000000, 2639.478880
1180.000000, 1.250000, 0.055723, 0.053159, 0.518630, 0.000000, 0.307930, 0.000000, 0.000000, 0.000000, 0.133020, 0.039670, 0.000750, 0.000000, 0.000000, 2635.730650
1160.000000, 1.250000, 0.089537, 0.085682, 0.525500, 0.000000, 0.303260, 0.000000, 0.000000, 0.000000, 0.127570, 0.042760, 0.000900, 0.000000, 0.000000, 2631.767140
1140.000000, 1.250000, 0.122806, 0.117905, 0.532620, 0.000000, 0.298420, 0.000000, 0.000000, 0.000000, 0.121920, 0.045940, 0.001090, 0.000000, 0.000000, 2627.648880
1120.000000, 1.250000, 0.155401, 0.149714, 0.539860, 0.000000, 0.293490, 0.000000, 0.000000, 0.000000, 0.116160, 0.049150, 0.001340, 0.000000, 0.000000, 2623.472810
1100.000000, 1.250000, 0.220179, 0.207932, 0.513798, 0.000696, 0.272814, 0.000508, 0.041445, 0.012438, 0.102816, 0.049392, 0.001631, 0.004462, 0.000000, 2684.323253
1080.000000, 1.250000, 0.280014, 0.262662, 0.504623, 0.001732, 0.260218, 0.000543, 0.060826, 0.018697, 0.093945, 0.050805, 0.002052, 0.006550, 0.000000, 2712.031152
1060.000000, 1.250000, 0.338130, 0.315110, 0.496448, 0.003740, 0.250005, 0.000459, 0.075576, 0.024625, 0.086740, 0.051701, 0.002587, 0.008120, 0.000000, 2735.388774
1040.000000, 1.250000, 0.383091, 0.357613, 0.498941, 0.005718, 0.243931, 0.000491, 0.077431, 0.026539, 0.081986, 0.053501, 0.003161, 0.008299, 0.000000, 2737.153248
1020.000000, 1.250000, 0.420724, 0.393793, 0.501839, 0.006937, 0.239941, 0.000471, 0.077733, 0.027487, 0.078793, 0.054933, 0.003532, 0.008334, 0.000000, 2736.789711
1000.000000, 1.250000, 0.458068, 0.428168, 0.501838, 0.007810, 0.235267, 0.000455, 0.080411, 0.030603, 0.075489, 0.055240, 0.004265, 0.008612, 0.000000, 2743.318192
980.000000, 1.250000, 0.489719, 0.459317, 0.505735, 0.008784, 0.232318, 0.000443, 0.079889, 0.030046, 0.072111, 0.056639, 0.005503, 0.008540, 0.000000, 2739.753306
960.000000, 1.250000, 0.532780, 0.500039, 0.510989, 0.009749, 0.224983, 0.000402, 0.078858, 0.031864, 0.072413, 0.056012, 0.006325, 0.008412, 0.000000, 2750.313774
940.000000, 1.250000, 0.564888, 0.530633, 0.514217, 0.010147, 0.220332, 0.000398, 0.078756, 0.032608, 0.071894, 0.055720, 0.007522, 0.008397, 0.000000, 2755.838025
920.000000, 1.250000, 0.634614, 0.599955, 0.533491, 0.010151, 0.208783, 0.000347, 0.074443, 0.032216, 0.068053, 0.052660, 0.011875, 0.007980, 0.000000, 2768.229715
900.000000, 1.250000, 0.670544, 0.636162, 0.537472, 0.010250, 0.205715, 0.000314, 0.073048, 0.032159, 0.066632, 0.051596, 0.014977, 0.007839, 0.000000, 2767.935077
880.000000, 1.250000, 1.000000, 1.000000, 0.619124, 0.008231, 0.166055, 0.000242, 0.055894, 0.027963, 0.053016, 0.039847, 0.023670, 0.005961, 0.000000, 2719.194887
860.000000, 1.250000, 1.000000, 1.000000, 0.619130, 0.008222, 0.166058, 0.000241, 0.055894, 0.027964, 0.053019, 0.039847, 0.023667, 0.005961, 0.000000, 2720.418408
840.000000, 1.250000, 1.000000, 1.000000, 0.619129, 0.008227, 0.166058, 0.000242, 0.055895, 0.027961, 0.053018, 0.039845, 0.023669, 0.005960, 0.000000, 2721.678085
