T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1100.000000, 1.250000, 0.998610, 1.007489, 0.595540, 0.007900, 0.159580, 0.000250, 0.053660, 0.027030, 0.050930, 0.038330, 0.022770, 0.005770, 0.038250, 2294.313290, 2.140157
1080.000000, 1.250000, 0.995459, 1.005732, 0.597280, 0.007920, 0.159990, 0.000270, 0.051200, 0.027120, 0.051090, 0.038430, 0.022830, 0.005530, 0.038350, 2295.797240, 2.275112
1060.000000, 1.250000, 0.951032, 0.971146, 0.608960, 0.008250, 0.155290, 0.000260, 0.043550, 0.028060, 0.047450, 0.039540, 0.023860, 0.004720, 0.040060, 2278.421900, 2.443287
1040.000000, 1.250000, 0.919722, 0.945231, 0.614320, 0.008450, 0.152300, 0.000280, 0.039710, 0.029840, 0.045160, 0.040050, 0.024470, 0.004320, 0.041100, 2272.246020, 2.574171
1020.000000, 1.250000, 0.886707, 0.910668, 0.623440, 0.008820, 0.147580, 0.000300, 0.034820, 0.030870, 0.042450, 0.040860, 0.025280, 0.003810, 0.041770, 2264.832350, 2.746685
1000.000000, 1.250000, 0.857419, 0.877811, 0.631750, 0.009200, 0.142800, 0.000190, 0.031340, 0.031410, 0.040890, 0.041290, 0.025710, 0.003430, 0.041970, 2261.591800, 2.931874
980.000000, 1.250000, 0.828312, 0.846414, 0.641440, 0.009570, 0.138320, 0.000120, 0.027550, 0.031120, 0.038750, 0.041440, 0.026380, 0.003030, 0.042290, 2256.023990, 3.134220
960.000000, 1.250000, 0.801178, 0.815715, 0.651120, 0.009830, 0.133930, 0.000100, 0.024320, 0.030540, 0.036870, 0.041250, 0.026910, 0.002680, 0.042460, 2251.746700, 3.348291
940.000000, 1.250000, 0.773766, 0.789958, 0.658830, 0.010050, 0.132250, 0.000070, 0.020770, 0.029150, 0.033460, 0.041630, 0.028240, 0.002290, 0.043270, 2243.767500, 3.530243
920.000000, 1.250000, 0.749068, 0.762116, 0.668040, 0.010120, 0.128090, 0.000060, 0.018540, 0.028540, 0.031770, 0.040820, 0.028860, 0.002050, 0.043100, 2241.831130, 3.763566
900.000000, 1.250000, 0.698917, 0.715876, 0.676180, 0.009890, 0.127590, 0.000100, 0.015970, 0.025470, 0.027590, 0.040640, 0.030810, 0.001770, 0.044000, 2232.435110, 3.959587
880.000000, 1.250000, 0.657556, 0.674275, 0.690210, 0.008430, 0.124530, 0.000120, 0.013520, 0.021660, 0.023890, 0.039930, 0.032210, 0.001500, 0.044000, 2223.255420, 4.224658
860.000000, 1.250000, 0.620209, 0.635605, 0.702320, 0.006990, 0.121640, 0.000130, 0.011510, 0.019060, 0.021550, 0.038250, 0.034190, 0.001280, 0.043090, 2220.463580, 4.524180
840.000000, 1.250000, 0.582605, 0.595685, 0.712540, 0.006140, 0.118610, 0.000120, 0.010020, 0.016940, 0.019320, 0.036090, 0.035970, 0.001110, 0.043140, 2215.488750, 4.793866
820.000000, 1.250000, 0.547578, 0.559073, 0.721330, 0.005280, 0.116320, 0.000110, 0.008830, 0.015090, 0.017490, 0.033710, 0.038710, 0.000980, 0.042160, 2215.829940, 5.104194
800.000000, 1.250000, 0.510066, 0.520358, 0.724010, 0.004780, 0.115970, 0.000100, 0.007760, 0.013650, 0.016540, 0.031840, 0.041670, 0.000860, 0.042820, 2213.322180, 5.304839
780.000000, 1.250000, 0.485553, 0.492762, 0.740920, 0.003850, 0.109010, 0.000080, 0.006780, 0.012670, 0.015410, 0.025690, 0.045230, 0.000750, 0.039610, 2219.070540, 5.860166
760.000000, 1.250000, 0.456526, 0.464031, 0.746250, 0.003440, 0.107750, 0.000060, 0.005920, 0.011100, 0.013950, 0.023930, 0.047220, 0.000660, 0.039720, 2217.092910, 6.131351
740.000000, 1.250000, 0.428956, 0.436126, 0.750660, 0.003110, 0.106010, 0.000070, 0.005450, 0.010790, 0.014190, 0.022020, 0.047640, 0.000610, 0.039450, 2218.995160, 6.438746
720.000000, 1.250000, 0.398709, 0.405065, 0.759450, 0.002460, 0.101900, 0.000070, 0.005170, 0.010710, 0.014920, 0.019550, 0.047210, 0.000570, 0.038010, 2223.140900, 6.872108
700.000000, 1.250000, 0.352315, 0.358208, 0.770830, 0.002610, 0.096810, 0.000060, 0.004370, 0.010390, 0.015020, 0.017660, 0.044060, 0.000490, 0.037690, 2221.427710, 7.309609
680.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
660.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
