Title: mars_ultram

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 rhm-oxide_0 whitlockite 
150.00 1350.00 99.932629 39.156551 54.882029 5.894049 0.000000 0.000000 0.000000 0.000000 
150.00 1345.00 99.931722 38.228392 55.188659 6.514671 0.000000 0.000000 0.000000 0.000000 
150.00 1340.00 99.930819 37.322270 55.494551 7.113999 0.000000 0.000000 0.000000 0.000000 
150.00 1335.00 99.929921 36.437792 55.798513 7.693615 0.000000 0.000000 0.000000 0.000000 
150.00 1330.00 99.929028 35.574626 56.099357 8.255045 0.000000 0.000000 0.000000 0.000000 
150.00 1325.00 99.928141 34.732483 56.395905 8.799753 0.000000 0.000000 0.000000 0.000000 
150.00 1320.00 99.927261 33.911112 56.687004 9.329144 0.000000 0.000000 0.000000 0.000000 
150.00 1315.00 99.926390 33.110284 56.971541 9.844565 0.000000 0.000000 0.000000 0.000000 
150.00 1310.00 99.925527 32.329780 57.248448 10.347299 0.000000 0.000000 0.000000 0.000000 
150.00 1305.00 99.924674 31.569386 57.516726 10.838563 0.000000 0.000000 0.000000 0.000000 
150.00 1300.00 99.923832 30.828876 57.775446 11.319510 0.000000 0.000000 0.000000 0.000000 
150.00 1295.00 99.923002 30.108011 58.023767 11.791224 0.000000 0.000000 0.000000 0.000000 
150.00 1290.00 99.922185 29.406527 58.260941 12.254716 0.000000 0.000000 0.000000 0.000000 
150.00 1285.00 99.921381 28.724134 58.486318 12.710929 0.000000 0.000000 0.000000 0.000000 
150.00 1280.00 99.920591 28.060506 58.699354 13.160731 0.000000 0.000000 0.000000 0.000000 
150.00 1275.00 99.919817 27.415287 58.899609 13.604921 0.000000 0.000000 0.000000 0.000000 
150.00 1270.00 99.919058 26.788084 59.086745 14.044229 0.000000 0.000000 0.000000 0.000000 
150.00 1265.00 99.918316 26.178472 59.260529 14.479314 0.000000 0.000000 0.000000 0.000000 
150.00 1260.00 99.917590 25.585992 59.420822 14.910775 0.000000 0.000000 0.000000 0.000000 
150.00 1255.00 99.916881 25.010159 59.567576 15.339147 0.000000 0.000000 0.000000 0.000000 
150.00 1250.00 99.916189 24.450459 59.700824 15.764907 0.000000 0.000000 0.000000 0.000000 
150.00 1245.00 99.915515 23.906359 59.820676 16.188480 0.000000 0.000000 0.000000 0.000000 
150.00 1240.00 99.914859 23.377310 59.927307 16.610242 0.000000 0.000000 0.000000 0.000000 
150.00 1235.00 99.914221 22.862751 60.020948 17.030522 0.000000 0.000000 0.000000 0.000000 
150.00 1230.00 99.913600 22.362111 60.101882 17.449607 0.000000 0.000000 0.000000 0.000000 
150.00 1225.00 99.912997 21.874820 60.170431 17.867746 0.000000 0.000000 0.000000 0.000000 
150.00 1220.00 99.912412 21.400308 60.226950 18.285153 0.000000 0.000000 0.000000 0.000000 
150.00 1215.00 99.911844 20.938011 60.271823 18.702010 0.000000 0.000000 0.000000 0.000000 
150.00 1210.00 99.911293 20.487375 60.305452 19.118466 0.000000 0.000000 0.000000 0.000000 
150.00 1205.00 99.910760 20.047836 60.328222 19.534702 0.000000 0.000000 0.000000 0.000000 
150.00 1200.00 99.910243 19.618646 60.340188 19.951409 0.000000 0.000000 0.000000 0.000000 
150.00 1195.00 99.909743 19.199242 60.341711 20.368790 0.000000 0.000000 0.000000 0.000000 
150.00 1190.00 99.909260 18.789148 60.333257 20.786855 0.000000 0.000000 0.000000 0.000000 
150.00 1185.00 99.908792 18.387910 60.315291 21.205592 0.000000 0.000000 0.000000 0.000000 
150.00 1180.00 99.908341 17.995098 60.288279 21.624964 0.000000 0.000000 0.000000 0.000000 
150.00 1175.00 99.906798 15.722813 60.081702 22.991929 0.000000 1.110355 0.000000 0.000000 
150.00 1170.00 99.904951 13.014987 59.859622 24.497600 0.000000 2.532742 0.000000 0.000000 
150.00 1165.00 99.903115 10.467906 59.668648 25.869848 0.000000 3.828024 0.000000 0.068690 
150.00 1160.00 99.901646 8.520068 59.539791 26.891464 0.000000 4.830367 0.000000 0.119956 
150.00 1155.00 99.900827 6.424369 59.240896 21.688669 6.787809 5.579236 0.000000 0.179848 
150.00 1150.00 99.900010 5.186742 59.139838 21.351586 7.817065 6.193314 0.000000 0.211465 
150.00 1145.00 99.899355 4.207035 59.062303 21.169880 8.532297 6.691916 0.000000 0.235924 
150.00 1140.00 99.898825 3.418195 58.999737 21.093219 9.031149 7.101267 0.000000 0.255257 
150.00 1135.00 99.898394 2.774916 58.946739 21.093658 9.372487 7.439792 0.000000 0.270802 
150.00 1130.00 99.898043 2.245540 58.899910 21.156407 9.591740 7.720981 0.000000 0.283465 
150.00 1125.00 99.897755 1.807177 58.857184 21.274881 9.709437 7.955209 0.000000 0.293868 
150.00 1120.00 99.897517 1.442573 58.817393 21.448324 9.735749 8.151036 0.000000 0.302441 
150.00 1115.00 99.897316 1.137721 58.779927 21.681867 9.671849 8.316498 0.000000 0.309453 
150.00 1110.00 99.897140 0.878630 58.744151 21.991935 9.505695 8.461737 0.000000 0.314992 
150.00 1105.00 99.896593 0.355165 58.746194 29.464996 2.188818 8.756915 0.047572 0.336933 
150.00 1100.00 99.896485 0.000000 58.660380 29.539999 2.331912 8.922573 0.089797 0.351823 
150.00 1095.00 99.896444 0.000000 58.657101 29.495579 2.386087 8.917662 0.088192 0.351823 
150.00 1090.00 99.896403 0.000000 58.653793 29.451553 2.439985 8.912682 0.086565 0.351823 
150.00 1085.00 99.896361 0.000000 58.650460 29.407980 2.493546 8.907636 0.084917 0.351823 
150.00 1080.00 99.896320 0.000000 58.647102 29.364903 2.546721 8.902524 0.083245 0.351823 
150.00 1075.00 99.896278 0.000000 58.643720 29.322360 2.599474 8.897350 0.081551 0.351823 
150.00 1070.00 99.896236 0.000000 58.640314 29.280380 2.651773 8.892113 0.079832 0.351823 
150.00 1065.00 99.896194 0.000000 58.636886 29.238987 2.703595 8.886815 0.078089 0.351823 
150.00 1060.00 99.896152 0.000000 58.633434 29.198200 2.754921 8.881455 0.076319 0.351823 
150.00 1055.00 99.896110 0.000000 58.629958 29.158037 2.805736 8.876032 0.074523 0.351823 
150.00 1050.00 99.896067 0.000000 58.626457 29.118512 2.856029 8.870547 0.072698 0.351823 
150.00 1045.00 99.896024 0.000000 58.622930 29.079637 2.905792 8.864997 0.070844 0.351823 
150.00 1040.00 99.895981 0.000000 58.619377 29.041422 2.955018 8.859382 0.068959 0.351823 
150.00 1035.00 99.895938 0.000000 58.615794 29.003877 3.003704 8.853699 0.067041 0.351823 
150.00 1030.00 99.895895 0.000000 58.612181 28.967011 3.051847 8.847945 0.065088 0.351823 
150.00 1025.00 99.895851 0.000000 58.608536 28.930830 3.099447 8.842118 0.063098 0.351823 
150.00 1020.00 99.895808 0.000000 58.604855 28.895342 3.146504 8.836214 0.061069 0.351823 
150.00 1015.00 99.895764 0.000000 58.601137 28.860555 3.193020 8.830229 0.058998 0.351823 
150.00 1010.00 99.895720 0.000000 58.597380 28.826475 3.238996 8.824161 0.056883 0.351823 
150.00 1005.00 99.895675 0.000000 58.593579 28.793109 3.284438 8.818005 0.054721 0.351823 
150.00 1000.00 99.895631 0.000000 58.589733 28.760464 3.329349 8.811755 0.052507 0.351823 
