Title: mars_ultram

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 rhm-oxide_0 whitlockite 
150.00 1700.00 99.980183 99.980183 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1695.00 99.980122 99.980122 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1690.00 99.980063 99.980063 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1685.00 99.980006 99.980006 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1680.00 99.979950 99.979950 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1675.00 99.979896 99.979896 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1670.00 99.979843 99.979843 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1665.00 99.979792 99.979792 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1660.00 99.979743 99.979743 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1655.00 99.979696 99.979696 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1650.00 99.979650 99.979650 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1645.00 99.979606 99.979606 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1640.00 99.979564 99.979564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1635.00 99.979524 99.979524 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1630.00 99.979010 98.878364 1.100646 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1625.00 99.978254 97.249062 2.729192 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1620.00 99.977501 95.666788 4.310712 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1615.00 99.976750 94.128885 5.847865 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1610.00 99.976000 92.632870 7.343130 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1605.00 99.975253 91.176426 8.798827 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1600.00 99.974507 89.757381 10.217126 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1595.00 99.973761 88.373699 11.600062 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1590.00 99.973016 87.023471 12.949546 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1585.00 99.972272 85.704899 14.267373 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1580.00 99.971528 84.416292 15.555236 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1575.00 99.970783 83.156056 16.814727 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1570.00 99.970037 81.922687 18.047350 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1565.00 99.969291 80.714765 19.254526 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1560.00 99.968543 79.530943 20.437600 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1555.00 99.967794 78.369950 21.597844 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1550.00 99.967043 77.230579 22.736464 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1545.00 99.966290 76.111685 23.854604 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1540.00 99.965534 75.012181 24.953352 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1535.00 99.964775 73.931034 26.033741 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1530.00 99.964012 72.867261 27.096751 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1525.00 99.963247 71.819929 28.143318 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1520.00 99.962477 70.788147 29.174330 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1515.00 99.961703 69.771070 30.190632 0.000000 0.000000 0.000000 0.000000 0.000000 
150.00 1510.00 99.960924 68.767893 31.193031 0.000000 0.000000 0.000000 0.000000 0.000000 
