T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Density[kg/m3]
1150.000000, 1.250000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1130.000000, 1.250000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN
1110.000000, 1.250000, 0.001890, 0.000983, 0.000000, 0.000630, 0.034710, 0.006920, 0.762180, 0.124630, 0.000000, 0.000000, 0.000000, 0.070930, 0.000000, 4525.234990
1090.000000, 1.250000, 0.037749, 0.027317, 0.265594, 0.000367, 0.212345, 0.002224, 0.325567, 0.053868, 0.101247, 0.008338, 0.000040, 0.030411, 0.000000, 3249.831573
1070.000000, 1.250000, 0.109645, 0.082830, 0.318732, 0.000547, 0.243758, 0.001304, 0.241349, 0.041899, 0.118392, 0.011150, 0.000055, 0.022811, 0.000000, 3081.576312
1050.000000, 1.250000, 0.160031, 0.121362, 0.331897, 0.000954, 0.247900, 0.001093, 0.224221, 0.039845, 0.119857, 0.012866, 0.000063, 0.021294, 0.000000, 3048.442171
1030.000000, 1.250000, 0.200844, 0.152517, 0.341483, 0.001580, 0.249240, 0.000978, 0.213339, 0.038746, 0.119668, 0.014578, 0.000079, 0.020320, 0.000000, 3027.262835
1010.000000, 1.250000, 0.234548, 0.178344, 0.349804, 0.002532, 0.249260, 0.000902, 0.204736, 0.038197, 0.118529, 0.016418, 0.000095, 0.019534, 0.000000, 3010.603148
990.000000, 1.250000, 0.266846, 0.202851, 0.358491, 0.003970, 0.246693, 0.000835, 0.196496, 0.038732, 0.117587, 0.018349, 0.000109, 0.018738, 0.000000, 2998.804310
970.000000, 1.250000, 0.322602, 0.243823, 0.377526, 0.005609, 0.231279, 0.000722, 0.180211, 0.045904, 0.121130, 0.020364, 0.000200, 0.017056, 0.000000, 2997.062030
950.000000, 1.250000, 0.376858, 0.284086, 0.394247, 0.007798, 0.221101, 0.000640, 0.164691, 0.051487, 0.121234, 0.022942, 0.000325, 0.015536, 0.000000, 2985.008216
930.000000, 1.250000, 0.426010, 0.321840, 0.405539, 0.008361, 0.214792, 0.000578, 0.153268, 0.057102, 0.117597, 0.026224, 0.000490, 0.014322, 0.001734, 2975.418845
910.000000, 1.250000, 0.468857, 0.354141, 0.415103, 0.010825, 0.210370, 0.000532, 0.143895, 0.059407, 0.113828, 0.029162, 0.000637, 0.013368, 0.002882, 2965.169096
890.000000, 1.250000, 0.519361, 0.392976, 0.427861, 0.012464, 0.206879, 0.000482, 0.133301, 0.060330, 0.108869, 0.033035, 0.000767, 0.012269, 0.003752, 2946.677259
870.000000, 1.250000, 0.540725, 0.411685, 0.429312, 0.013076, 0.204431, 0.000476, 0.130959, 0.062236, 0.109945, 0.032477, 0.000920, 0.012029, 0.004145, 2949.609730
850.000000, 1.250000, 0.577379, 0.440462, 0.440912, 0.013507, 0.202586, 0.000444, 0.124782, 0.059697, 0.104543, 0.036359, 0.001159, 0.011517, 0.004494, 2932.271563
830.000000, 1.250000, 0.607312, 0.465986, 0.448496, 0.013760, 0.200732, 0.000425, 0.120274, 0.058799, 0.101758, 0.038169, 0.001393, 0.011117, 0.005081, 2923.585533
810.000000, 1.250000, 0.631755, 0.487519, 0.455343, 0.013916, 0.199191, 0.000409, 0.116557, 0.057810, 0.099168, 0.039723, 0.001646, 0.010779, 0.005450, 2915.249147
790.000000, 1.250000, 0.654372, 0.508130, 0.461574, 0.013936, 0.197859, 0.000396, 0.113332, 0.056861, 0.096868, 0.041038, 0.001950, 0.010484, 0.005700, 2907.548463
770.000000, 1.250000, 0.676102, 0.528371, 0.466852, 0.013916, 0.196629, 0.000385, 0.110733, 0.056082, 0.095018, 0.041984, 0.002261, 0.010245, 0.005891, 2901.396514
750.000000, 1.250000, 0.693966, 0.546062, 0.471675, 0.013889, 0.195523, 0.000376, 0.108489, 0.055305, 0.093269, 0.042793, 0.002588, 0.010040, 0.006043, 2895.785411
730.000000, 1.250000, 0.709374, 0.562366, 0.476071, 0.013825, 0.194557, 0.000370, 0.106422, 0.054603, 0.091719, 0.043447, 0.002957, 0.009864, 0.006173, 2890.737765
710.000000, 1.250000, 0.741153, 0.592191, 0.484378, 0.013504, 0.193071, 0.000353, 0.102512, 0.052784, 0.088455, 0.043309, 0.006035, 0.009485, 0.006115, 2877.155099
690.000000, 1.250000, 0.767738, 0.618403, 0.491060, 0.013235, 0.191832, 0.000339, 0.099383, 0.051307, 0.086005, 0.043081, 0.008567, 0.009194, 0.005996, 2867.399848
670.000000, 1.250000, 0.958920, 0.789442, 0.553417, 0.011024, 0.173056, 0.000274, 0.080913, 0.042983, 0.072375, 0.037744, 0.015661, 0.007446, 0.005109, 2806.310411
650.000000, 1.250000, 0.959930, 0.798587, 0.553505, 0.011016, 0.172980, 0.000273, 0.080879, 0.042929, 0.072303, 0.037708, 0.015736, 0.007441, 0.005230, 2807.916187
