T[C], P[kbar], fraction[wt], fraction[vol], SiO2, TiO2, Al2O3, Cr2O3, FeO, MgO, CaO, Na2O, K2O, O, H2O, Rho[kg/m3], log10(Eta)[Pas]
1150.000000, 1.250000, 0.998170, 0.986069, 0.537240, 0.010600, 0.166900, 0.000260, 0.077770, 0.041420, 0.069490, 0.036260, 0.015710, 0.007160, 0.037180, 2361.330000, 1.355846
1130.000000, 1.250000, 0.998502, 0.988548, 0.538530, 0.010490, 0.166390, 0.000270, 0.077460, 0.041340, 0.069300, 0.036170, 0.015640, 0.007140, 0.037260, 2364.640510, 1.473732
1110.000000, 1.250000, 0.997110, 0.991339, 0.538350, 0.010630, 0.167080, 0.000250, 0.076020, 0.041220, 0.069610, 0.036340, 0.015760, 0.007000, 0.037750, 2365.794830, 1.581242
1090.000000, 1.250000, 0.960662, 0.960530, 0.549000, 0.010930, 0.164910, 0.000210, 0.067700, 0.040660, 0.068270, 0.037170, 0.016270, 0.006200, 0.038670, 2352.006690, 1.778752
1070.000000, 1.250000, 0.886106, 0.885254, 0.565400, 0.011870, 0.157770, 0.000150, 0.057420, 0.041360, 0.063840, 0.039290, 0.017590, 0.005230, 0.040090, 2330.170620, 2.008504
1050.000000, 1.250000, 0.833680, 0.832047, 0.578230, 0.012440, 0.152080, 0.000110, 0.049750, 0.042150, 0.060420, 0.040740, 0.018610, 0.004460, 0.041020, 2316.376220, 2.211523
1030.000000, 1.250000, 0.791151, 0.788898, 0.589090, 0.012900, 0.147110, 0.000090, 0.043560, 0.042500, 0.057640, 0.041820, 0.019590, 0.003850, 0.041850, 2305.399710, 2.402773
1010.000000, 1.250000, 0.755960, 0.753038, 0.597820, 0.013190, 0.143180, 0.000080, 0.038680, 0.042770, 0.055220, 0.042680, 0.020540, 0.003380, 0.042460, 2298.064680, 2.582692
990.000000, 1.250000, 0.722128, 0.718462, 0.607770, 0.013100, 0.139000, 0.000060, 0.034380, 0.042830, 0.052700, 0.043070, 0.021290, 0.002950, 0.042860, 2291.263510, 2.776883
970.000000, 1.250000, 0.663796, 0.661132, 0.622030, 0.013240, 0.137000, 0.000050, 0.029210, 0.039490, 0.045550, 0.044220, 0.022870, 0.002440, 0.043900, 2274.307420, 2.997161
950.000000, 1.250000, 0.606836, 0.604519, 0.634250, 0.012460, 0.136460, 0.000040, 0.024730, 0.035810, 0.039090, 0.045160, 0.025060, 0.002080, 0.044870, 2258.806800, 3.196509
930.000000, 1.250000, 0.555750, 0.555718, 0.647910, 0.012450, 0.133910, 0.000030, 0.021850, 0.030370, 0.034690, 0.044720, 0.027110, 0.001850, 0.045110, 2247.986670, 3.460459
910.000000, 1.250000, 0.510587, 0.510649, 0.667740, 0.010430, 0.128460, 0.000030, 0.019260, 0.026090, 0.030920, 0.042730, 0.028520, 0.001640, 0.044170, 2239.407100, 3.794660
890.000000, 1.250000, 0.457238, 0.456252, 0.675210, 0.008860, 0.128610, 0.000030, 0.017680, 0.021670, 0.028160, 0.041170, 0.033080, 0.001620, 0.043920, 2234.430760, 4.029043
870.000000, 1.250000, 0.436136, 0.441332, 0.687190, 0.007880, 0.126830, 0.000010, 0.015180, 0.017340, 0.022790, 0.042410, 0.033570, 0.001420, 0.045370, 2219.264760, 4.210154
850.000000, 1.250000, 0.396840, 0.399423, 0.700530, 0.006780, 0.121450, 0.000020, 0.013500, 0.017020, 0.022700, 0.037480, 0.035760, 0.001180, 0.043590, 2222.463890, 4.590754
830.000000, 1.250000, 0.365739, 0.369595, 0.709270, 0.005880, 0.119150, 0.000020, 0.012070, 0.015090, 0.020790, 0.035030, 0.038360, 0.001020, 0.043300, 2219.843590, 4.867501
810.000000, 1.250000, 0.340194, 0.344593, 0.720550, 0.004980, 0.115260, 0.000020, 0.010920, 0.013560, 0.019410, 0.031430, 0.041060, 0.000900, 0.041920, 2220.954600, 5.235197
790.000000, 1.250000, 0.316586, 0.321380, 0.728020, 0.004400, 0.112590, 0.000010, 0.010270, 0.012480, 0.018750, 0.028000, 0.043920, 0.000830, 0.040730, 2224.078230, 5.585253
770.000000, 1.250000, 0.294143, 0.300239, 0.733100, 0.003850, 0.111460, 0.000010, 0.009050, 0.011140, 0.017490, 0.025870, 0.046280, 0.000700, 0.041050, 2221.392540, 5.840126
750.000000, 1.250000, 0.275688, 0.282618, 0.739960, 0.003340, 0.109100, 0.000010, 0.008280, 0.010310, 0.017030, 0.023220, 0.047770, 0.000620, 0.040370, 2222.736620, 6.182818
730.000000, 1.250000, 0.259798, 0.267540, 0.745690, 0.002870, 0.107430, 0.000010, 0.007520, 0.009610, 0.016830, 0.020630, 0.049330, 0.000550, 0.039540, 2225.348540, 6.542443
710.000000, 1.250000, 0.226611, 0.233927, 0.760720, 0.002430, 0.100560, 0.000010, 0.007220, 0.009290, 0.017100, 0.017960, 0.046340, 0.000500, 0.037870, 2226.982240, 7.074078
690.000000, 1.250000, 0.199018, 0.206352, 0.774900, 0.002060, 0.094460, 0.000010, 0.006750, 0.009310, 0.017080, 0.015740, 0.042750, 0.000440, 0.036510, 2227.559270, 7.612221
670.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
650.000000, 1.250000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, NaN, NaN
