Title: mars_mafic

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MnO MgO CaO Na2O K2O P2O5 
1000.00 1300.00 0.000000 ---
1000.00 1295.00 0.000000 ---
1000.00 1290.00 0.000000 ---
1000.00 1285.00 0.000000 ---
1000.00 1280.00 0.000000 ---
1000.00 1275.00 0.000000 ---
1000.00 1270.00 0.000000 ---
1000.00 1265.00 0.000000 ---
1000.00 1260.00 0.130187 55.0435 0.0608111 1.95862 1.14782 10.5222 0 30.3728 0.875485 0.0188256 0 0
1000.00 1255.00 1.003872 54.9697 0.0617429 1.98395 1.16076 10.6961 0 30.2048 0.903656 0.0192752 0 0
1000.00 1250.00 1.865231 54.8953 0.0626498 2.00924 1.17356 10.8726 0 30.0341 0.932867 0.019735 0 0
1000.00 1245.00 2.715041 54.8201 0.0635309 2.0345 1.18622 11.0515 0 29.8608 0.963167 0.0202054 0 0
1000.00 1240.00 3.554057 54.7442 0.064385 2.05974 1.19873 11.233 0 29.6847 0.994606 0.0206867 0 0
1000.00 1235.00 4.383022 54.6676 0.0652112 2.08495 1.2111 11.4169 0 29.5058 1.02724 0.0211792 0 0
1000.00 1230.00 5.202665 54.5903 0.0660088 2.11013 1.22331 11.6034 0 29.3241 1.06111 0.0216832 0 0
1000.00 1225.00 6.013700 54.5123 0.0667773 2.13531 1.23538 11.7923 0 29.1395 1.09629 0.0221991 0 0
1000.00 1220.00 6.816832 54.4334 0.0675162 2.16049 1.24729 11.9838 0 28.9519 1.13283 0.0227273 0 0
1000.00 1215.00 7.612752 54.3539 0.0682255 2.18568 1.25905 12.1777 0 28.7614 1.17079 0.023268 0 0
1000.00 1210.00 8.402143 54.2735 0.0689051 2.21089 1.27066 12.374 0 28.568 1.21022 0.0238218 0 0
1000.00 1205.00 9.185704 54.1924 0.0695554 2.23613 1.28213 12.5727 0 28.3715 1.2512 0.0243889 0 0
1000.00 1200.00 9.964382 54.1105 0.0701763 2.26143 1.29345 12.7738 0 28.1719 1.29378 0.0249701 0 0
1000.00 1195.00 10.738900 54.0277 0.0707684 2.28681 1.30463 12.9772 0 27.9693 1.33804 0.0255659 0 0
1000.00 1190.00 11.509893 53.9442 0.0713329 2.31228 1.31568 13.1829 0 27.7635 1.38404 0.0261769 0 0
1000.00 1185.00 12.277988 53.8598 0.0718713 2.33788 1.32661 13.3907 0 27.5545 1.43184 0.0268034 0 0
1000.00 1180.00 13.043801 53.7745 0.0723855 2.36361 1.33742 13.6006 0 27.3425 1.4815 0.027446 0 0
1000.00 1175.00 13.807938 53.6885 0.0728777 2.38952 1.34813 13.8124 0 27.1274 1.53309 0.0281052 0 0
